,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,tot_occurences,representation_occurences,representation_token_0,representation_token_1,representation_token_2,representation_token_3,representation_token_4,representation_token_5,representation_token_6,representation_token_7,representation_token_8,representation_token_9,representation_token_10,representation_token_11,representation_token_12,representation_token_13,representation_token_14,representation_token_15,representation_token_16,representation_token_17,representation_token_18,representation_token_19
juifs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,0.0037956204379562043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005747126436781609,0.005434782608695652,0.005128205128205128,0.004901960784313725,0.004901960784313725,0.004901960784313725,0.0049504950495049506,0.005,0.005128205128205128,0.005235602094240838,0.005319148936170213,0.0056179775280898875,0.005747126436781609
tous,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,75.0,0.021897810218978103,0.0392156862745098,0.03508771929824561,0.032520325203252036,0.029850746268656716,0.027777777777777776,0.02631578947368421,0.024539877300613498,0.022988505747126436,0.021739130434782608,0.020512820512820513,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.019801980198019802,0.02,0.020512820512820513,0.020942408376963352,0.015957446808510637,0.011235955056179775,0.011494252873563218
saint,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,44.0,0.012846715328467153,0.0196078431372549,0.017543859649122806,0.016260162601626018,0.014925373134328358,0.013888888888888888,0.013157894736842105,0.012269938650306749,0.011494252873563218,0.010869565217391304,0.010256410256410256,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.01485148514851485,0.01,0.010256410256410256,0.010471204188481676,0.010638297872340425,0.011235955056179775,0.011494252873563218
bernois,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.00583941605839416,0.00980392156862745,0.008771929824561403,0.008130081300813009,0.007462686567164179,0.006944444444444444,0.006578947368421052,0.006134969325153374,0.005747126436781609,0.005434782608695652,0.005128205128205128,0.004901960784313725,0.004901960784313725,0.004901960784313725,0.0049504950495049506,0.005,0.005128205128205128,0.005235602094240838,0.005319148936170213,0.0056179775280898875,0.005747126436781609
première,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,75.0,0.021897810218978103,0.029411764705882353,0.02631578947368421,0.024390243902439025,0.022388059701492536,0.020833333333333332,0.019736842105263157,0.018404907975460124,0.017241379310344827,0.016304347826086956,0.02564102564102564,0.024509803921568627,0.024509803921568627,0.024509803921568627,0.019801980198019802,0.02,0.020512820512820513,0.020942408376963352,0.02127659574468085,0.02247191011235955,0.022988505747126436
tchèques,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,96.0,0.02802919708029197,0.0392156862745098,0.03508771929824561,0.032520325203252036,0.029850746268656716,0.027777777777777776,0.02631578947368421,0.024539877300613498,0.022988505747126436,0.02717391304347826,0.02564102564102564,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0297029702970297,0.025,0.02564102564102564,0.02617801047120419,0.026595744680851064,0.028089887640449437,0.028735632183908046
camp,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,44.0,0.012846715328467153,0.00980392156862745,0.008771929824561403,0.008130081300813009,0.007462686567164179,0.006944444444444444,0.006578947368421052,0.012269938650306749,0.011494252873563218,0.016304347826086956,0.015384615384615385,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.01485148514851485,0.015,0.015384615384615385,0.015706806282722512,0.015957446808510637,0.011235955056179775,0.011494252873563218
libérale,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,35.0,0.010218978102189781,0.00980392156862745,0.008771929824561403,0.008130081300813009,0.007462686567164179,0.013888888888888888,0.013157894736842105,0.012269938650306749,0.011494252873563218,0.010869565217391304,0.010256410256410256,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.009900990099009901,0.01,0.010256410256410256,0.010471204188481676,0.010638297872340425,0.011235955056179775,0.005747126436781609
unilatéral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,0.003211678832116788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.004901960784313725,0.004901960784313725,0.004901960784313725,0.0049504950495049506,0.005,0.005128205128205128,0.005235602094240838,0.005319148936170213,0.0056179775280898875,0.005747126436781609
conservateurs,4.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,126.0,0.03678832116788321,0.0392156862745098,0.043859649122807015,0.04878048780487805,0.04477611940298507,0.041666666666666664,0.039473684210526314,0.04294478527607362,0.040229885057471264,0.03804347826086957,0.035897435897435895,0.03431372549019608,0.03431372549019608,0.03431372549019608,0.034653465346534656,0.035,0.035897435897435895,0.03664921465968586,0.031914893617021274,0.028089887640449437,0.028735632183908046
