,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,tot_occurences,representation_occurences,representation_token_0,representation_token_1,representation_token_2,representation_token_3,representation_token_4,representation_token_5,representation_token_6,representation_token_7,representation_token_8,representation_token_9,representation_token_10,representation_token_11,representation_token_12,representation_token_13,representation_token_14,representation_token_15,representation_token_16,representation_token_17,representation_token_18,representation_token_19
pris,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,37.0,0.007822410147991543,0.0136986301369863,0.012422360248447204,0.011627906976744186,0.0106951871657754,0.009950248756218905,0.009259259259259259,0.008658008658008658,0.00816326530612245,0.0078125,0.007434944237918215,0.007142857142857143,0.007142857142857143,0.007168458781362007,0.007220216606498195,0.0072992700729927005,0.00749063670411985,0.0076045627376425855,0.00392156862745098,0.004166666666666667,0.004329004329004329
progressistes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,0.0027484143763213532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081632653061225,0.00390625,0.0037174721189591076,0.0035714285714285713,0.0035714285714285713,0.0035842293906810036,0.0036101083032490976,0.0036496350364963502,0.003745318352059925,0.0038022813688212928,0.00392156862745098,0.004166666666666667,0.004329004329004329
électoral,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,0.0038054968287526427,0.0,0.0,0.005813953488372093,0.0053475935828877,0.004975124378109453,0.004629629629629629,0.004329004329004329,0.004081632653061225,0.00390625,0.0037174721189591076,0.0035714285714285713,0.0035714285714285713,0.0035842293906810036,0.0036101083032490976,0.0036496350364963502,0.003745318352059925,0.0038022813688212928,0.00392156862745098,0.004166666666666667,0.004329004329004329
diplomatique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,0.002536997885835095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.0037174721189591076,0.0035714285714285713,0.0035714285714285713,0.0035842293906810036,0.0036101083032490976,0.0036496350364963502,0.003745318352059925,0.0038022813688212928,0.00392156862745098,0.004166666666666667,0.004329004329004329
assis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.004228329809725159,0.00684931506849315,0.006211180124223602,0.005813953488372093,0.0053475935828877,0.004975124378109453,0.004629629629629629,0.004329004329004329,0.004081632653061225,0.00390625,0.0037174721189591076,0.0035714285714285713,0.0035714285714285713,0.0035842293906810036,0.0036101083032490976,0.0036496350364963502,0.003745318352059925,0.0038022813688212928,0.00392156862745098,0.004166666666666667,0.004329004329004329
certain,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.003171247357293869,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.004329004329004329,0.004081632653061225,0.00390625,0.0037174721189591076,0.0035714285714285713,0.0035714285714285713,0.0035842293906810036,0.0036101083032490976,0.0036496350364963502,0.003745318352059925,0.0038022813688212928,0.00392156862745098,0.004166666666666667,0.004329004329004329
économique,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,54.0,0.011416490486257928,0.0136986301369863,0.012422360248447204,0.011627906976744186,0.0106951871657754,0.009950248756218905,0.009259259259259259,0.012987012987012988,0.012244897959183673,0.01171875,0.011152416356877323,0.010714285714285714,0.010714285714285714,0.010752688172043012,0.010830324909747292,0.010948905109489052,0.011235955056179775,0.011406844106463879,0.011764705882352941,0.0125,0.012987012987012988
politiques,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.003171247357293869,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.004329004329004329,0.004081632653061225,0.00390625,0.0037174721189591076,0.0035714285714285713,0.0035714285714285713,0.0035842293906810036,0.0036101083032490976,0.0036496350364963502,0.003745318352059925,0.0038022813688212928,0.00392156862745098,0.004166666666666667,0.004329004329004329
gros,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.004228329809725159,0.00684931506849315,0.006211180124223602,0.005813953488372093,0.0053475935828877,0.004975124378109453,0.004629629629629629,0.004329004329004329,0.004081632653061225,0.00390625,0.0037174721189591076,0.0035714285714285713,0.0035714285714285713,0.0035842293906810036,0.0036101083032490976,0.0036496350364963502,0.003745318352059925,0.0038022813688212928,0.00392156862745098,0.004166666666666667,0.004329004329004329
quelques,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,29.0,0.00613107822410148,0.00684931506849315,0.006211180124223602,0.005813953488372093,0.0053475935828877,0.004975124378109453,0.004629629629629629,0.004329004329004329,0.004081632653061225,0.00390625,0.0037174721189591076,0.007142857142857143,0.007142857142857143,0.007168458781362007,0.007220216606498195,0.0072992700729927005,0.00749063670411985,0.0076045627376425855,0.00784313725490196,0.008333333333333333,0.004329004329004329
monarchistes,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0033826638477801266,0.0,0.0,0.0,0.0,0.004975124378109453,0.004629629629629629,0.004329004329004329,0.004081632653061225,0.00390625,0.0037174721189591076,0.0035714285714285713,0.0035714285714285713,0.0035842293906810036,0.0036101083032490976,0.0036496350364963502,0.003745318352059925,0.0038022813688212928,0.00392156862745098,0.004166666666666667,0.004329004329004329
portée,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.004228329809725159,0.00684931506849315,0.006211180124223602,0.005813953488372093,0.0053475935828877,0.004975124378109453,0.004629629629629629,0.004329004329004329,0.004081632653061225,0.00390625,0.0037174721189591076,0.0035714285714285713,0.0035714285714285713,0.0035842293906810036,0.0036101083032490976,0.0036496350364963502,0.003745318352059925,0.0038022813688212928,0.00392156862745098,0.004166666666666667,0.004329004329004329
journal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.004228329809725159,0.00684931506849315,0.006211180124223602,0.005813953488372093,0.0053475935828877,0.004975124378109453,0.004629629629629629,0.004329004329004329,0.004081632653061225,0.00390625,0.0037174721189591076,0.0035714285714285713,0.0035714285714285713,0.0035842293906810036,0.0036101083032490976,0.0036496350364963502,0.003745318352059925,0.0038022813688212928,0.00392156862745098,0.004166666666666667,0.004329004329004329
ministériel,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,0.0040169133192389005,0.0,0.006211180124223602,0.005813953488372093,0.0053475935828877,0.004975124378109453,0.004629629629629629,0.004329004329004329,0.004081632653061225,0.00390625,0.0037174721189591076,0.0035714285714285713,0.0035714285714285713,0.0035842293906810036,0.0036101083032490976,0.0036496350364963502,0.003745318352059925,0.0038022813688212928,0.00392156862745098,0.004166666666666667,0.004329004329004329
bien,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,95.0,0.0200845665961945,0.0273972602739726,0.024844720496894408,0.023255813953488372,0.0213903743315508,0.024875621890547265,0.023148148148148147,0.021645021645021644,0.02040816326530612,0.01953125,0.01858736059479554,0.017857142857142856,0.017857142857142856,0.017921146953405017,0.018050541516245487,0.01824817518248175,0.018726591760299626,0.019011406844106463,0.0196078431372549,0.020833333333333332,0.017316017316017316
