,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,tot_occurences,representation_occurences,representation_token_0,representation_token_1,representation_token_2,representation_token_3,representation_token_4,representation_token_5,representation_token_6,representation_token_7,representation_token_8,representation_token_9,representation_token_10,representation_token_11,representation_token_12,representation_token_13,representation_token_14,representation_token_15,representation_token_16,representation_token_17,representation_token_18,representation_token_19
manifestée,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,8.671606270534846e-05,0.0,0.0,0.0001305994514823038,0.0001221001221001221,0.00011502185415228893,0.00010821339681852613,0.00010225994477962981,9.651578033008396e-05,9.231905465288036e-05,8.818342151675486e-05,8.423890152472412e-05,8.423890152472412e-05,8.424599831508003e-05,8.425309630128907e-05,8.427439743805832e-05,8.430992327796982e-05,8.446659346228566e-05,8.47673137238281e-05,8.56091088091773e-05,8.87705281846427e-05
subit,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,0.0001541618892539528,0.0,0.0,0.0,0.0001221001221001221,0.00011502185415228893,0.00021642679363705227,0.00020451988955925963,0.00019303156066016793,0.00018463810930576072,0.0001763668430335097,0.00016847780304944825,0.00016847780304944825,0.00016849199663016007,0.00016850619260257814,0.00016854879487611664,0.00016861984655593964,0.00016893318692457132,0.0001695346274476562,0.0001712182176183546,0.0001775410563692854
bonne,9.0,13.0,13.0,14.0,14.0,16.0,19.0,20.0,20.0,21.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,22.0,22.0,21.0,385.0,0.0018547602300866197,0.0013706975327444412,0.0018248175182481751,0.001697792869269949,0.0017094017094017094,0.001610305958132045,0.0017314143490964181,0.0019429389508129665,0.0019303156066016794,0.001846381093057607,0.001851851851851852,0.0019374947350686547,0.0019374947350686547,0.0019376579612468408,0.0019378212149296487,0.0019383111410753414,0.0019391282353933058,0.0019427316496325702,0.001864880901924218,0.0018834003938019005,0.0018641810918774966
vétérinaire,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,31.0,0.00014934433021476678,0.00015229972586049346,0.00014037057832678272,0.0001305994514823038,0.0001221001221001221,0.00011502185415228893,0.00010821339681852613,0.00010225994477962981,9.651578033008396e-05,0.00018463810930576072,0.0001763668430335097,0.00016847780304944825,0.00016847780304944825,0.00016849199663016007,0.00016850619260257814,0.00016854879487611664,0.00016861984655593964,0.00016893318692457132,0.0001695346274476562,0.0001712182176183546,8.87705281846427e-05
partagé,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,7.70809446269764e-05,0.0,0.0,0.0,0.0,0.00011502185415228893,0.00010821339681852613,0.00010225994477962981,9.651578033008396e-05,9.231905465288036e-05,8.818342151675486e-05,8.423890152472412e-05,8.423890152472412e-05,8.424599831508003e-05,8.425309630128907e-05,8.427439743805832e-05,8.430992327796982e-05,8.446659346228566e-05,8.47673137238281e-05,8.56091088091773e-05,8.87705281846427e-05
fédéral,29.0,31.0,33.0,36.0,37.0,41.0,43.0,44.0,44.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,895.0,0.0043117153400714925,0.0044166920499543105,0.004351487928130264,0.0043097818989160245,0.004395604395604396,0.004255808603634691,0.004436749269559571,0.0043971776255240826,0.004246694334523695,0.004062038404726735,0.004232804232804233,0.00429618397776093,0.00429618397776093,0.004296545914069081,0.004296907911365742,0.004297994269340974,0.00429980608717646,0.004307796266576569,0.004323132999915233,0.004366064549268042,0.004438526409232135
directeurs,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,83.0,0.00039985740025244007,0.00045689917758148037,0.0004211117349803481,0.00039179835444691133,0.0003663003663003663,0.0003450655624568668,0.0003246401904555784,0.00030677983433888945,0.0002895473409902519,0.00036927621861152144,0.0004409171075837742,0.0004211945076236206,0.0004211945076236206,0.00042122999157540015,0.0004212654815064454,0.00042137198719029156,0.00042154961638984906,0.0004223329673114283,0.00042383656861914046,0.00042804554404588647,0.0004438526409232135
importants,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,50.0,0.00024087795195930125,0.0003045994517209869,0.00028074115665356543,0.0002611989029646076,0.0002442002442002442,0.00023004370830457787,0.00021642679363705227,0.00020451988955925963,0.00019303156066016793,0.00018463810930576072,0.0001763668430335097,0.00025271670457417233,0.00025271670457417233,0.0002527379949452401,0.0002527592889038672,0.00025282319231417495,0.00025292976983390945,0.000253399780386857,0.0002543019411714843,0.00025682732642753187,0.0002663115845539281
donnée,4.0,4.0,6.0,6.0,6.0,8.0,8.0,9.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,194.0,0.0009346064536020889,0.0006091989034419738,0.0005614823133071309,0.0007835967088938227,0.0007326007326007326,0.0006901311249137336,0.0008657071745482091,0.0008180795582370385,0.0008686420229707557,0.0010155096011816838,0.0010582010582010583,0.0010108668182966893,0.0010108668182966893,0.0010109519797809603,0.0010110371556154689,0.0010112927692566998,0.0010117190793356378,0.001013599121547428,0.0010172077646859372,0.0010273093057101275,0.0010652463382157123
morts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,25.0,0.00012043897597965063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.651578033008396e-05,0.00018463810930576072,0.0001763668430335097,0.00016847780304944825,0.00016847780304944825,0.00016849199663016007,0.00016850619260257814,0.00016854879487611664,0.00016861984655593964,0.00016893318692457132,0.0001695346274476562,0.0001712182176183546,0.0001775410563692854
grêle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,6.262826750941833e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.651578033008396e-05,9.231905465288036e-05,8.818342151675486e-05,8.423890152472412e-05,8.423890152472412e-05,8.424599831508003e-05,8.425309630128907e-05,8.427439743805832e-05,8.430992327796982e-05,8.446659346228566e-05,8.47673137238281e-05,8.56091088091773e-05,8.87705281846427e-05
restreint,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,9.63511807837205e-05,0.00015229972586049346,0.00014037057832678272,0.0001305994514823038,0.0001221001221001221,0.00011502185415228893,0.00010821339681852613,0.00010225994477962981,9.651578033008396e-05,9.231905465288036e-05,8.818342151675486e-05,8.423890152472412e-05,8.423890152472412e-05,8.424599831508003e-05,8.425309630128907e-05,8.427439743805832e-05,8.430992327796982e-05,8.446659346228566e-05,8.47673137238281e-05,8.56091088091773e-05,8.87705281846427e-05
faits,14.0,14.0,16.0,16.0,18.0,20.0,21.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,23.0,22.0,426.0,0.0020522801506932466,0.0021321961620469083,0.0019651880965749578,0.0020895912237168606,0.0019536019536019536,0.002070393374741201,0.002164267936370523,0.0021474588403722263,0.002219862947591931,0.0021233382570162483,0.0021164021164021165,0.0020217336365933787,0.0020217336365933787,0.0020219039595619206,0.0020220743112309377,0.0020225855385133996,0.0020234381586712756,0.002027198243094856,0.0020344155293718744,0.0019690095026110776,0.0019529516200621393
intégrante,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,60.0,0.00028905354235116154,0.00045689917758148037,0.0004211117349803481,0.00039179835444691133,0.0003663003663003663,0.0003450655624568668,0.0003246401904555784,0.00030677983433888945,0.0002895473409902519,0.0002769571639586411,0.00026455026455026457,0.00025271670457417233,0.00025271670457417233,0.0002527379949452401,0.0002527592889038672,0.00025282319231417495,0.00025292976983390945,0.000253399780386857,0.0002543019411714843,0.00025682732642753187,0.0002663115845539281
sarrazin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,5.78107084702323e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.231905465288036e-05,8.818342151675486e-05,8.423890152472412e-05,8.423890152472412e-05,8.424599831508003e-05,8.425309630128907e-05,8.427439743805832e-05,8.430992327796982e-05,8.446659346228566e-05,8.47673137238281e-05,8.56091088091773e-05,8.87705281846427e-05
autre,47.0,55.0,63.0,67.0,75.0,80.0,86.0,90.0,94.0,99.0,101.0,101.0,101.0,101.0,101.0,101.0,100.0,100.0,100.0,97.0,1759.0,0.008474086349928219,0.007158087115443192,0.007720381807973049,0.008227765443385137,0.008180708180708181,0.00862663906142167,0.008657071745482092,0.008794355251048165,0.008686420229707557,0.008677991137370753,0.00873015873015873,0.008508129053997136,0.008508129053997136,0.008508845829823083,0.008509562726430196,0.00851171414124389,0.008515302251074951,0.008446659346228567,0.00847673137238281,0.008560910880917729,0.008610741233910342
réservées,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,5.299314943104628e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.818342151675486e-05,8.423890152472412e-05,8.423890152472412e-05,8.424599831508003e-05,8.425309630128907e-05,8.427439743805832e-05,8.430992327796982e-05,8.446659346228566e-05,8.47673137238281e-05,8.56091088091773e-05,8.87705281846427e-05
incessante,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,9.63511807837205e-05,0.00015229972586049346,0.00014037057832678272,0.0001305994514823038,0.0001221001221001221,0.00011502185415228893,0.00010821339681852613,0.00010225994477962981,9.651578033008396e-05,9.231905465288036e-05,8.818342151675486e-05,8.423890152472412e-05,8.423890152472412e-05,8.424599831508003e-05,8.425309630128907e-05,8.427439743805832e-05,8.430992327796982e-05,8.446659346228566e-05,8.47673137238281e-05,8.56091088091773e-05,8.87705281846427e-05
crie,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,54.0,0.00026014818811604534,0.0003045994517209869,0.00028074115665356543,0.0002611989029646076,0.0002442002442002442,0.00023004370830457787,0.00021642679363705227,0.00030677983433888945,0.0002895473409902519,0.0002769571639586411,0.00026455026455026457,0.00025271670457417233,0.00025271670457417233,0.0002527379949452401,0.0002527592889038672,0.00025282319231417495,0.00025292976983390945,0.000253399780386857,0.0002543019411714843,0.00025682732642753187,0.0002663115845539281
présentes,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,52.0,0.0002505130700376733,0.00015229972586049346,0.00014037057832678272,0.0001305994514823038,0.0001221001221001221,0.0003450655624568668,0.0003246401904555784,0.00030677983433888945,0.0002895473409902519,0.0002769571639586411,0.00026455026455026457,0.00025271670457417233,0.00025271670457417233,0.0002527379949452401,0.0002527592889038672,0.00025282319231417495,0.00025292976983390945,0.000253399780386857,0.0002543019411714843,0.00025682732642753187,0.0002663115845539281
vif,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,33.0,0.00015897944829313884,0.00015229972586049346,0.00014037057832678272,0.0001305994514823038,0.0001221001221001221,0.00011502185415228893,0.00010821339681852613,0.00010225994477962981,0.00019303156066016793,0.00018463810930576072,0.0001763668430335097,0.00016847780304944825,0.00016847780304944825,0.00016849199663016007,0.00016850619260257814,0.00016854879487611664,0.00016861984655593964,0.00016893318692457132,0.0001695346274476562,0.0001712182176183546,0.0001775410563692854
perdu,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,226.0,0.0010887683428560417,0.0012183978068839476,0.0012633352049410444,0.001175395063340734,0.001098901098901099,0.0011502185415228894,0.0010821339681852614,0.0010225994477962982,0.0009651578033008397,0.0010155096011816838,0.0009700176366843034,0.0010951057198214135,0.0010951057198214135,0.0010951979780960404,0.001095290251916758,0.0010955671666947582,0.0010960290026136076,0.0010980657150097136,0.0011019750784097653,0.0011129184145193048,0.0010652463382157123
minutieuse,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,9.153362174453448e-05,0.0,0.00014037057832678272,0.0001305994514823038,0.0001221001221001221,0.00011502185415228893,0.00010821339681852613,0.00010225994477962981,9.651578033008396e-05,9.231905465288036e-05,8.818342151675486e-05,8.423890152472412e-05,8.423890152472412e-05,8.424599831508003e-05,8.425309630128907e-05,8.427439743805832e-05,8.430992327796982e-05,8.446659346228566e-05,8.47673137238281e-05,8.56091088091773e-05,8.87705281846427e-05
consignée,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,36.0,0.0001734321254106969,0.00015229972586049346,0.00014037057832678272,0.0001305994514823038,0.0001221001221001221,0.00023004370830457787,0.00021642679363705227,0.00020451988955925963,0.00019303156066016793,0.00018463810930576072,0.0001763668430335097,0.00016847780304944825,0.00016847780304944825,0.00016849199663016007,0.00016850619260257814,0.00016854879487611664,0.00016861984655593964,0.00016893318692457132,0.0001695346274476562,0.0001712182176183546,0.0001775410563692854
incendiaires,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,5.78107084702323e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.231905465288036e-05,8.818342151675486e-05,8.423890152472412e-05,8.423890152472412e-05,8.424599831508003e-05,8.425309630128907e-05,8.427439743805832e-05,8.430992327796982e-05,8.446659346228566e-05,8.47673137238281e-05,8.56091088091773e-05,8.87705281846427e-05
réitérées,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,6.262826750941833e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.651578033008396e-05,9.231905465288036e-05,8.818342151675486e-05,8.423890152472412e-05,8.423890152472412e-05,8.424599831508003e-05,8.425309630128907e-05,8.427439743805832e-05,8.430992327796982e-05,8.446659346228566e-05,8.47673137238281e-05,8.56091088091773e-05,8.87705281846427e-05
