,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,tot_occurences,representation_occurences,representation_token_0,representation_token_1,representation_token_2,representation_token_3,representation_token_4,representation_token_5,representation_token_6,representation_token_7,representation_token_8,representation_token_9,representation_token_10,representation_token_11,representation_token_12,representation_token_13,representation_token_14,representation_token_15,representation_token_16,representation_token_17,representation_token_18,representation_token_19
allemand,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0033715441672285905,0.005235602094240838,0.004878048780487805,0.004464285714285714,0.0041841004184100415,0.004016064257028112,0.003745318352059925,0.0035587188612099642,0.0033222591362126247,0.003194888178913738,0.0030959752321981426,0.002967359050445104,0.002967359050445104,0.002967359050445104,0.0029850746268656717,0.0029850746268656717,0.0029940119760479044,0.0029940119760479044,0.003003003003003003,0.0030120481927710845,0.003076923076923077
jeune,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,53.0,0.008934592043155765,0.005235602094240838,0.00975609756097561,0.008928571428571428,0.008368200836820083,0.008032128514056224,0.00749063670411985,0.010676156583629894,0.009966777408637873,0.009584664536741214,0.009287925696594427,0.008902077151335312,0.008902077151335312,0.008902077151335312,0.008955223880597015,0.008955223880597015,0.008982035928143712,0.008982035928143712,0.009009009009009009,0.009036144578313253,0.009230769230769232
tous,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,33.0,0.005563047875927174,0.005235602094240838,0.004878048780487805,0.004464285714285714,0.0041841004184100415,0.004016064257028112,0.003745318352059925,0.0035587188612099642,0.006644518272425249,0.006389776357827476,0.006191950464396285,0.005934718100890208,0.005934718100890208,0.005934718100890208,0.005970149253731343,0.005970149253731343,0.005988023952095809,0.005988023952095809,0.006006006006006006,0.006024096385542169,0.006153846153846154
étrangères,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0016857720836142953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002967359050445104,0.002967359050445104,0.002967359050445104,0.0029850746268656717,0.0029850746268656717,0.0029940119760479044,0.0029940119760479044,0.003003003003003003,0.0030120481927710845,0.003076923076923077
bernois,9.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,9.0,206.0,0.034726904922454484,0.04712041884816754,0.04390243902439024,0.04017857142857143,0.03765690376569038,0.03614457831325301,0.03745318352059925,0.03914590747330961,0.036544850498338874,0.03514376996805112,0.034055727554179564,0.032640949554896145,0.032640949554896145,0.032640949554896145,0.03283582089552239,0.03283582089552239,0.03293413173652695,0.03293413173652695,0.03303303303303303,0.030120481927710843,0.027692307692307693
vieille,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0026972353337828725,0.0,0.0,0.0,0.0,0.004016064257028112,0.003745318352059925,0.0035587188612099642,0.0033222591362126247,0.003194888178913738,0.0030959752321981426,0.002967359050445104,0.002967359050445104,0.002967359050445104,0.0029850746268656717,0.0029850746268656717,0.0029940119760479044,0.0029940119760479044,0.003003003003003003,0.0030120481927710845,0.003076923076923077
première,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0016857720836142953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002967359050445104,0.002967359050445104,0.002967359050445104,0.0029850746268656717,0.0029850746268656717,0.0029940119760479044,0.0029940119760479044,0.003003003003003003,0.0030120481927710845,0.003076923076923077
droite,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0033715441672285905,0.005235602094240838,0.004878048780487805,0.004464285714285714,0.0041841004184100415,0.004016064257028112,0.003745318352059925,0.0035587188612099642,0.0033222591362126247,0.003194888178913738,0.0030959752321981426,0.002967359050445104,0.002967359050445104,0.002967359050445104,0.0029850746268656717,0.0029850746268656717,0.0029940119760479044,0.0029940119760479044,0.003003003003003003,0.0030120481927710845,0.003076923076923077
réfractaires,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,0.002191503708698584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.003194888178913738,0.0030959752321981426,0.002967359050445104,0.002967359050445104,0.002967359050445104,0.0029850746268656717,0.0029850746268656717,0.0029940119760479044,0.0029940119760479044,0.003003003003003003,0.0030120481927710845,0.003076923076923077
croissant,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0033715441672285905,0.005235602094240838,0.004878048780487805,0.004464285714285714,0.0041841004184100415,0.004016064257028112,0.003745318352059925,0.0035587188612099642,0.0033222591362126247,0.003194888178913738,0.0030959752321981426,0.002967359050445104,0.002967359050445104,0.002967359050445104,0.0029850746268656717,0.0029850746268656717,0.0029940119760479044,0.0029940119760479044,0.003003003003003003,0.0030120481927710845,0.003076923076923077
