,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,tot_occurences,representation_occurences,representation_token_0,representation_token_1,representation_token_2,representation_token_3,representation_token_4,representation_token_5,representation_token_6,representation_token_7,representation_token_8,representation_token_9,representation_token_10,representation_token_11,representation_token_12,representation_token_13,representation_token_14,representation_token_15,representation_token_16,representation_token_17,representation_token_18,representation_token_19
issue,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0017465342211548957,0.0,0.0,0.0,0.0,0.0025974025974025974,0.002403846153846154,0.002288329519450801,0.0021691973969631237,0.002074688796680498,0.001996007984031936,0.0019120458891013384,0.0019120458891013384,0.0019120458891013384,0.0019193857965451055,0.0019267822736030828,0.0019342359767891683,0.001937984496124031,0.0019455252918287938,0.0019723865877712033,0.0020161290322580645
droite,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0021831677764436196,0.003401360544217687,0.0031446540880503146,0.0029239766081871343,0.00273224043715847,0.0025974025974025974,0.002403846153846154,0.002288329519450801,0.0021691973969631237,0.002074688796680498,0.001996007984031936,0.0019120458891013384,0.0019120458891013384,0.0019120458891013384,0.0019193857965451055,0.0019267822736030828,0.0019342359767891683,0.001937984496124031,0.0019455252918287938,0.0019723865877712033,0.0020161290322580645
libérales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,0.001200742277043991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001996007984031936,0.0019120458891013384,0.0019120458891013384,0.0019120458891013384,0.0019193857965451055,0.0019267822736030828,0.0019342359767891683,0.001937984496124031,0.0019455252918287938,0.0019723865877712033,0.0020161290322580645
tous,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,33.0,0.0036022268311319723,0.003401360544217687,0.0031446540880503146,0.0029239766081871343,0.00273224043715847,0.0025974025974025974,0.002403846153846154,0.002288329519450801,0.004338394793926247,0.004149377593360996,0.003992015968063872,0.0038240917782026767,0.0038240917782026767,0.0038240917782026767,0.003838771593090211,0.0038535645472061657,0.0038684719535783366,0.003875968992248062,0.0038910505836575876,0.0039447731755424065,0.004032258064516129
réélus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,0.0013099006658661718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002074688796680498,0.001996007984031936,0.0019120458891013384,0.0019120458891013384,0.0019120458891013384,0.0019193857965451055,0.0019267822736030828,0.0019342359767891683,0.001937984496124031,0.0019455252918287938,0.0019723865877712033,0.0020161290322580645
communiste,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,71.0,0.00775024560637485,0.003401360544217687,0.0031446540880503146,0.0029239766081871343,0.00273224043715847,0.0025974025974025974,0.007211538461538462,0.006864988558352402,0.006507592190889371,0.006224066390041493,0.007984031936127744,0.009560229445506692,0.009560229445506692,0.009560229445506692,0.009596928982725527,0.009633911368015413,0.009671179883945842,0.009689922480620155,0.009727626459143969,0.009861932938856016,0.010080645161290322
frappé,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,0.0018556926099770768,0.0,0.0,0.0,0.00273224043715847,0.0025974025974025974,0.002403846153846154,0.002288329519450801,0.0021691973969631237,0.002074688796680498,0.001996007984031936,0.0019120458891013384,0.0019120458891013384,0.0019120458891013384,0.0019193857965451055,0.0019267822736030828,0.0019342359767891683,0.001937984496124031,0.0019455252918287938,0.0019723865877712033,0.0020161290322580645
portant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,0.0014190590546883529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021691973969631237,0.002074688796680498,0.001996007984031936,0.0019120458891013384,0.0019120458891013384,0.0019120458891013384,0.0019193857965451055,0.0019267822736030828,0.0019342359767891683,0.001937984496124031,0.0019455252918287938,0.0019723865877712033,0.0020161290322580645
fédérale,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,117.0,0.012771531492195174,0.017006802721088437,0.015723270440251572,0.014619883040935672,0.01639344262295082,0.015584415584415584,0.014423076923076924,0.013729977116704805,0.013015184381778741,0.012448132780082987,0.011976047904191617,0.011472275334608031,0.011472275334608031,0.011472275334608031,0.011516314779270634,0.011560693641618497,0.01160541586073501,0.011627906976744186,0.011673151750972763,0.011834319526627219,0.012096774193548387
imprévues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0010915838882218098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019120458891013384,0.0019120458891013384,0.0019120458891013384,0.0019193857965451055,0.0019267822736030828,0.0019342359767891683,0.001937984496124031,0.0019455252918287938,0.0019723865877712033,0.0020161290322580645
