,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,tot_occurences,representation_occurences,representation_token_0,representation_token_1,representation_token_2,representation_token_3,representation_token_4,representation_token_5,representation_token_6,representation_token_7,representation_token_8,representation_token_9,representation_token_10,representation_token_11,representation_token_12,representation_token_13,representation_token_14,representation_token_15,representation_token_16,representation_token_17,representation_token_18,representation_token_19
vraie,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,26.0,0.0008095401189401252,0.0,0.0,0.0,0.0,0.0007127583749109052,0.0006756756756756757,0.0006455777921239509,0.0006165228113440197,0.0005963029218843172,0.0005733944954128441,0.0011043622308117063,0.0011043622308117063,0.0011043622308117063,0.001105583195135434,0.0011074197120708748,0.0011092623405435386,0.0011135857461024498,0.0011312217194570137,0.0011627906976744186,0.0012033694344163659
pris,2.0,2.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,120.0,0.003736339010492885,0.0018365472910927456,0.0017064846416382253,0.0023885350318471337,0.004518072289156626,0.0042765502494654314,0.004054054054054054,0.003873466752743706,0.0036991368680641184,0.0035778175313059034,0.0040137614678899085,0.003865267807840972,0.003865267807840972,0.003865267807840972,0.003869541182974019,0.003875968992248062,0.003882418191902385,0.0038975501113585748,0.003959276018099547,0.004069767441860465,0.00421179302045728
condensé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.00031136158420774047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005521811154058532,0.0005521811154058532,0.0005521811154058532,0.000552791597567717,0.0005537098560354374,0.0005546311702717693,0.0005567928730512249,0.0005656108597285068,0.0005813953488372093,0.0006016847172081829
citoyens,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,81.0,0.002522028832082698,0.0018365472910927456,0.0017064846416382253,0.0015923566878980893,0.0015060240963855422,0.002851033499643621,0.002702702702702703,0.0025823111684958036,0.0030826140567200987,0.0029815146094215863,0.0028669724770642203,0.0027609055770292656,0.0027609055770292656,0.0027609055770292656,0.002763957987838585,0.0027685492801771874,0.0027731558513588465,0.0022271714922048997,0.0022624434389140274,0.002325581395348837,0.0024067388688327317
prenant,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,34.0,0.0010586293863063176,0.0,0.0,0.0007961783439490446,0.0007530120481927711,0.0014255167498218105,0.0013513513513513514,0.0012911555842479018,0.0012330456226880395,0.0011926058437686344,0.0011467889908256881,0.0011043622308117063,0.0011043622308117063,0.0011043622308117063,0.001105583195135434,0.0011074197120708748,0.0011092623405435386,0.0011135857461024498,0.0011312217194570137,0.0011627906976744186,0.0012033694344163659
positive,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.00046704237631161065,0.0,0.0,0.0,0.0,0.0,0.0006756756756756757,0.0006455777921239509,0.0006165228113440197,0.0005963029218843172,0.0005733944954128441,0.0005521811154058532,0.0005521811154058532,0.0005521811154058532,0.000552791597567717,0.0005537098560354374,0.0005546311702717693,0.0005567928730512249,0.0005656108597285068,0.0005813953488372093,0.0006016847172081829
vaudois,53.0,53.0,54.0,57.0,59.0,60.0,60.0,62.0,62.0,62.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,61.0,61.0,60.0,1212.0,0.03773702400597814,0.048668503213957756,0.04522184300341297,0.042993630573248405,0.04292168674698795,0.042052744119743406,0.04054054054054054,0.03873466752743705,0.03822441430332922,0.03697078115682767,0.03555045871559633,0.0353395913859746,0.0353395913859746,0.0353395913859746,0.035378662244333885,0.035437430786267994,0.03549639489739324,0.035634743875278395,0.034502262443438916,0.035465116279069765,0.036101083032490974
journal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,31.0,0.0009652209110439954,0.0009182736455463728,0.0008532423208191126,0.0007961783439490446,0.0007530120481927711,0.0007127583749109052,0.0006756756756756757,0.0006455777921239509,0.0012330456226880395,0.0011926058437686344,0.0011467889908256881,0.0011043622308117063,0.0011043622308117063,0.0011043622308117063,0.001105583195135434,0.0011074197120708748,0.0011092623405435386,0.0011135857461024498,0.0011312217194570137,0.0005813953488372093,0.0006016847172081829
sortants,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,92.0,0.0028645265747112123,0.0036730945821854912,0.0034129692832764505,0.0031847133757961785,0.0030120481927710845,0.003563791874554526,0.0033783783783783786,0.0032278889606197547,0.0030826140567200987,0.0029815146094215863,0.0028669724770642203,0.0027609055770292656,0.0027609055770292656,0.0027609055770292656,0.002763957987838585,0.0027685492801771874,0.0027731558513588465,0.0022271714922048997,0.0022624434389140274,0.002325581395348837,0.0024067388688327317
nombreuse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,33.0,0.0010274932278855435,0.0009182736455463728,0.0008532423208191126,0.0007961783439490446,0.0007530120481927711,0.0007127583749109052,0.0006756756756756757,0.0006455777921239509,0.0012330456226880395,0.0011926058437686344,0.0011467889908256881,0.0011043622308117063,0.0011043622308117063,0.0011043622308117063,0.001105583195135434,0.0011074197120708748,0.0011092623405435386,0.0011135857461024498,0.0011312217194570137,0.0011627906976744186,0.0012033694344163659
belgique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.00031136158420774047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005521811154058532,0.0005521811154058532,0.0005521811154058532,0.000552791597567717,0.0005537098560354374,0.0005546311702717693,0.0005567928730512249,0.0005656108597285068,0.0005813953488372093,0.0006016847172081829
générales,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,0.0009963570694647695,0.0009182736455463728,0.0008532423208191126,0.0007961783439490446,0.0007530120481927711,0.0007127583749109052,0.0006756756756756757,0.0006455777921239509,0.0006165228113440197,0.0011926058437686344,0.0011467889908256881,0.0011043622308117063,0.0011043622308117063,0.0011043622308117063,0.001105583195135434,0.0011074197120708748,0.0011092623405435386,0.0011135857461024498,0.0011312217194570137,0.0011627906976744186,0.0012033694344163659
financier,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,49.0,0.0015256717626179282,0.0009182736455463728,0.0008532423208191126,0.0007961783439490446,0.0007530120481927711,0.0014255167498218105,0.0013513513513513514,0.0012911555842479018,0.0018495684340320592,0.0017889087656529517,0.0017201834862385322,0.0016565433462175593,0.0016565433462175593,0.0016565433462175593,0.001658374792703151,0.0016611295681063123,0.0016638935108153079,0.0016703786191536749,0.0016968325791855204,0.0017441860465116279,0.0018050541516245488
mal,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,48.0,0.001494535604197154,0.0018365472910927456,0.0017064846416382253,0.0015923566878980893,0.0015060240963855422,0.0014255167498218105,0.0013513513513513514,0.0012911555842479018,0.0012330456226880395,0.0011926058437686344,0.0011467889908256881,0.0016565433462175593,0.0016565433462175593,0.0016565433462175593,0.001658374792703151,0.0016611295681063123,0.0016638935108153079,0.0016703786191536749,0.0016968325791855204,0.0011627906976744186,0.0012033694344163659
importante,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,0.0004359062178908366,0.0,0.0,0.0,0.0,0.0,0.0,0.0006455777921239509,0.0006165228113440197,0.0005963029218843172,0.0005733944954128441,0.0005521811154058532,0.0005521811154058532,0.0005521811154058532,0.000552791597567717,0.0005537098560354374,0.0005546311702717693,0.0005567928730512249,0.0005656108597285068,0.0005813953488372093,0.0006016847172081829
libérale,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,72.0,0.002241803406295731,0.0018365472910927456,0.002559726962457338,0.0023885350318471337,0.002259036144578313,0.0021382751247327157,0.002027027027027027,0.001936733376371853,0.002466091245376079,0.002385211687537269,0.0022935779816513763,0.0022087244616234127,0.0022087244616234127,0.0022087244616234127,0.002211166390270868,0.0022148394241417496,0.0022185246810870773,0.0022271714922048997,0.0022624434389140274,0.002325581395348837,0.0024067388688327317
faibles,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,0.0004359062178908366,0.0,0.0,0.0,0.0,0.0,0.0,0.0006455777921239509,0.0006165228113440197,0.0005963029218843172,0.0005733944954128441,0.0005521811154058532,0.0005521811154058532,0.0005521811154058532,0.000552791597567717,0.0005537098560354374,0.0005546311702717693,0.0005567928730512249,0.0005656108597285068,0.0005813953488372093,0.0006016847172081829
partie,1.0,1.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,86.0,0.002677709624186568,0.0009182736455463728,0.0008532423208191126,0.0015923566878980893,0.0030120481927710845,0.002851033499643621,0.002702702702702703,0.0032278889606197547,0.0030826140567200987,0.0029815146094215863,0.0028669724770642203,0.0027609055770292656,0.0027609055770292656,0.0027609055770292656,0.002763957987838585,0.0027685492801771874,0.0027731558513588465,0.0027839643652561247,0.002828054298642534,0.0029069767441860465,0.0030084235860409147
sortant,13.0,14.0,14.0,14.0,14.0,16.0,17.0,18.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,19.0,17.0,365.0,0.011364697823582527,0.011937557392102846,0.011945392491467578,0.011146496815286623,0.010542168674698794,0.009978617248752673,0.010810810810810811,0.010974822466107165,0.011097410604192354,0.011926058437686345,0.012041284403669725,0.011595803423522915,0.011595803423522915,0.011595803423522915,0.011608623548922056,0.011627906976744186,0.011647254575707155,0.011692650334075724,0.011877828054298642,0.011046511627906977,0.01022864019253911
suivantes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0006227231684154809,0.0009182736455463728,0.0008532423208191126,0.0007961783439490446,0.0007530120481927711,0.0007127583749109052,0.0006756756756756757,0.0006455777921239509,0.0006165228113440197,0.0005963029218843172,0.0005733944954128441,0.0005521811154058532,0.0005521811154058532,0.0005521811154058532,0.000552791597567717,0.0005537098560354374,0.0005546311702717693,0.0005567928730512249,0.0005656108597285068,0.0005813953488372093,0.0006016847172081829
possible,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,33.0,0.0010274932278855435,0.0009182736455463728,0.0008532423208191126,0.0007961783439490446,0.0007530120481927711,0.0007127583749109052,0.0006756756756756757,0.0006455777921239509,0.0012330456226880395,0.0011926058437686344,0.0011467889908256881,0.0011043622308117063,0.0011043622308117063,0.0011043622308117063,0.001105583195135434,0.0011074197120708748,0.0011092623405435386,0.0011135857461024498,0.0011312217194570137,0.0011627906976744186,0.0012033694344163659
cohérente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,0.0003736339010492885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005963029218843172,0.0005733944954128441,0.0005521811154058532,0.0005521811154058532,0.0005521811154058532,0.000552791597567717,0.0005537098560354374,0.0005546311702717693,0.0005567928730512249,0.0005656108597285068,0.0005813953488372093,0.0006016847172081829
communes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,0.0004047700594700626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006165228113440197,0.0005963029218843172,0.0005733944954128441,0.0005521811154058532,0.0005521811154058532,0.0005521811154058532,0.000552791597567717,0.0005537098560354374,0.0005546311702717693,0.0005567928730512249,0.0005656108597285068,0.0005813953488372093,0.0006016847172081829
dévolu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0006227231684154809,0.0009182736455463728,0.0008532423208191126,0.0007961783439490446,0.0007530120481927711,0.0007127583749109052,0.0006756756756756757,0.0006455777921239509,0.0006165228113440197,0.0005963029218843172,0.0005733944954128441,0.0005521811154058532,0.0005521811154058532,0.0005521811154058532,0.000552791597567717,0.0005537098560354374,0.0005546311702717693,0.0005567928730512249,0.0005656108597285068,0.0005813953488372093,0.0006016847172081829
