,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,tot_occurences,representation_occurences,representation_token_0,representation_token_1,representation_token_2,representation_token_3,representation_token_4,representation_token_5,representation_token_6,representation_token_7,representation_token_8,representation_token_9,representation_token_10,representation_token_11,representation_token_12,representation_token_13,representation_token_14,representation_token_15,representation_token_16,representation_token_17,representation_token_18,representation_token_19
principales,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,0.004792332268370607,0.0,0.0,0.0072992700729927005,0.006711409395973154,0.00641025641025641,0.005917159763313609,0.005714285714285714,0.00546448087431694,0.00510204081632653,0.0048543689320388345,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.004608294930875576,0.004651162790697674,0.004672897196261682,0.0047169811320754715,0.0048543689320388345,0.0049261083743842365
démocratiques,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.005324813631522897,0.008620689655172414,0.007936507936507936,0.0072992700729927005,0.006711409395973154,0.00641025641025641,0.005917159763313609,0.005714285714285714,0.00546448087431694,0.00510204081632653,0.0048543689320388345,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.004608294930875576,0.004651162790697674,0.004672897196261682,0.0047169811320754715,0.0048543689320388345,0.0049261083743842365
communiste,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,37.0,0.009850905218317359,0.0,0.0,0.0,0.0,0.0,0.005917159763313609,0.005714285714285714,0.00546448087431694,0.01020408163265306,0.009708737864077669,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.013824884792626729,0.013953488372093023,0.014018691588785047,0.014150943396226415,0.014563106796116505,0.014778325123152709
jurassiens,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,65.0,0.017305644302449415,0.008620689655172414,0.007936507936507936,0.014598540145985401,0.020134228187919462,0.019230769230769232,0.01775147928994083,0.017142857142857144,0.01639344262295082,0.015306122448979591,0.014563106796116505,0.0182648401826484,0.0182648401826484,0.0182648401826484,0.0182648401826484,0.018433179723502304,0.018604651162790697,0.018691588785046728,0.018867924528301886,0.019417475728155338,0.019704433497536946
malaise,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,39.0,0.010383386581469648,0.008620689655172414,0.015873015873015872,0.014598540145985401,0.013422818791946308,0.01282051282051282,0.011834319526627219,0.011428571428571429,0.01092896174863388,0.01020408163265306,0.009708737864077669,0.0091324200913242,0.0091324200913242,0.0091324200913242,0.0091324200913242,0.009216589861751152,0.009302325581395349,0.009345794392523364,0.009433962264150943,0.009708737864077669,0.009852216748768473
bien,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,57.0,0.015175718849840255,0.017241379310344827,0.015873015873015872,0.014598540145985401,0.020134228187919462,0.019230769230769232,0.01775147928994083,0.017142857142857144,0.01639344262295082,0.015306122448979591,0.014563106796116505,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.013824884792626729,0.013953488372093023,0.014018691588785047,0.014150943396226415,0.014563106796116505,0.014778325123152709
tout,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,0.004792332268370607,0.0,0.0,0.0072992700729927005,0.006711409395973154,0.00641025641025641,0.005917159763313609,0.005714285714285714,0.00546448087431694,0.00510204081632653,0.0048543689320388345,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.004608294930875576,0.004651162790697674,0.004672897196261682,0.0047169811320754715,0.0048543689320388345,0.0049261083743842365
justifié,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,0.005058572949946752,0.0,0.007936507936507936,0.0072992700729927005,0.006711409395973154,0.00641025641025641,0.005917159763313609,0.005714285714285714,0.00546448087431694,0.00510204081632653,0.0048543689320388345,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.004608294930875576,0.004651162790697674,0.004672897196261682,0.0047169811320754715,0.0048543689320388345,0.0049261083743842365
particulier,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,33.0,0.00878594249201278,0.008620689655172414,0.007936507936507936,0.0072992700729927005,0.006711409395973154,0.00641025641025641,0.011834319526627219,0.011428571428571429,0.01092896174863388,0.01020408163265306,0.009708737864077669,0.0091324200913242,0.0091324200913242,0.0091324200913242,0.0091324200913242,0.009216589861751152,0.009302325581395349,0.009345794392523364,0.009433962264150943,0.0048543689320388345,0.0049261083743842365
parlant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,0.003194888178913738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00510204081632653,0.0048543689320388345,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.004608294930875576,0.004651162790697674,0.004672897196261682,0.0047169811320754715,0.0048543689320388345,0.0049261083743842365
