,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,tot_occurences,representation_occurences,representation_token_0,representation_token_1,representation_token_2,representation_token_3,representation_token_4,representation_token_5,representation_token_6,representation_token_7,representation_token_8,representation_token_9,representation_token_10,representation_token_11,representation_token_12,representation_token_13,representation_token_14,representation_token_15,representation_token_16,representation_token_17,representation_token_18,representation_token_19
moyennes,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,37.0,0.000505747754890034,0.0004110152075626798,0.0003835826620636747,0.00035855145213338117,0.0006775067750677507,0.0006462035541195477,0.0006105006105006105,0.0005788712011577424,0.00055005500550055,0.0005260389268805891,0.000503651473180559,0.00048520135856380397,0.00048520135856380397,0.00048520135856380397,0.000485319097306479,0.00048555474629764507,0.00048567265662943174,0.0004860267314702309,0.00048649963512527365,0.00048756704046806434,0.0004888780249327792
nette,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,85.0,0.0011618529504230511,0.0012330456226880395,0.0011507479861910242,0.0010756543564001434,0.0010162601626016261,0.0009693053311793214,0.0009157509157509158,0.0011577424023154848,0.0011001100110011,0.0010520778537611783,0.0012591286829513977,0.0012130033964095099,0.0012130033964095099,0.0012130033964095099,0.0012132977432661976,0.0012138868657441126,0.0012141816415735794,0.001215066828675577,0.0012162490878131842,0.0012189176011701609,0.0012221950623319481
saint,17.0,17.0,20.0,21.0,22.0,22.0,22.0,23.0,23.0,23.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,460.0,0.006287674790524747,0.006987258528565557,0.00652090525508247,0.007171029042667623,0.007113821138211382,0.007108239095315024,0.006715506715506716,0.006367583212735167,0.0063256325632563256,0.006049447659126775,0.0057919919415764295,0.0060650169820475495,0.0060650169820475495,0.0060650169820475495,0.006066488716330988,0.006069434328720563,0.006070908207867897,0.006075334143377886,0.006081245439065921,0.006094588005850805,0.006110975311659741
occupé,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,100.0,0.001366885824027119,0.002055076037813399,0.0019179133103183737,0.0017927572606669057,0.0016937669376693768,0.0016155088852988692,0.0015262515262515263,0.001447178002894356,0.0013751375137513752,0.0013150973172014729,0.0012591286829513977,0.0012130033964095099,0.0012130033964095099,0.0012130033964095099,0.0012132977432661976,0.0012138868657441126,0.0012141816415735794,0.001215066828675577,0.0012162490878131842,0.0012189176011701609,0.0012221950623319481
annuelle,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,60.0,0.0008201314944162714,0.0012330456226880395,0.0011507479861910242,0.0010756543564001434,0.0010162601626016261,0.0009693053311793214,0.0009157509157509158,0.0008683068017366136,0.0008250825082508251,0.0007890583903208837,0.0007554772097708386,0.000727802037845706,0.000727802037845706,0.000727802037845706,0.0007279786459597186,0.0007283321194464676,0.0007285089849441476,0.0007290400972053463,0.0007297494526879105,0.0007313505607020966,0.0007333170373991689
libérale,22.0,22.0,22.0,22.0,22.0,22.0,23.0,25.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,503.0,0.006875435694856409,0.009042334566378957,0.008438818565400843,0.007888131946934385,0.007452574525745257,0.007108239095315024,0.006715506715506716,0.0066570188133140374,0.006875687568756876,0.006838506049447659,0.006799294887937547,0.006550218340611353,0.006550218340611353,0.006550218340611353,0.006551807813637467,0.0065549890750182084,0.006556580864497329,0.006561360874848116,0.006567745074191195,0.006582155046318869,0.0065998533365925205
désaffecté,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0002733771648054238,0.0004110152075626798,0.0003835826620636747,0.00035855145213338117,0.00033875338753387534,0.00032310177705977385,0.00030525030525030525,0.0002894356005788712,0.000275027502750275,0.0002630194634402946,0.0002518257365902795,0.00024260067928190198,0.00024260067928190198,0.00024260067928190198,0.0002426595486532395,0.00024277737314882253,0.00024283632831471587,0.00024301336573511544,0.00024324981756263683,0.00024378352023403217,0.0002444390124663896
extérieurs,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.00020503287360406784,0.0,0.0,0.0,0.0,0.0,0.00030525030525030525,0.0002894356005788712,0.000275027502750275,0.0002630194634402946,0.0002518257365902795,0.00024260067928190198,0.00024260067928190198,0.00024260067928190198,0.0002426595486532395,0.00024277737314882253,0.00024283632831471587,0.00024301336573511544,0.00024324981756263683,0.00024378352023403217,0.0002444390124663896
tels,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,95.0,0.001298541532825763,0.0012330456226880395,0.0015343306482546988,0.0017927572606669057,0.0016937669376693768,0.0016155088852988692,0.0015262515262515263,0.001447178002894356,0.0013751375137513752,0.0013150973172014729,0.0012591286829513977,0.0012130033964095099,0.0012130033964095099,0.0012130033964095099,0.0012132977432661976,0.0012138868657441126,0.0012141816415735794,0.001215066828675577,0.0012162490878131842,0.0009751340809361287,0.0009777560498655585
perdus,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,40.0,0.0005467543296108476,0.0008220304151253596,0.0007671653241273494,0.0007171029042667623,0.0006775067750677507,0.0006462035541195477,0.0006105006105006105,0.0005788712011577424,0.00055005500550055,0.0005260389268805891,0.000503651473180559,0.00048520135856380397,0.00048520135856380397,0.00048520135856380397,0.000485319097306479,0.00048555474629764507,0.00048567265662943174,0.0004860267314702309,0.00048649963512527365,0.00048756704046806434,0.0004888780249327792
entière,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,45.0,0.0006150986208122035,0.0004110152075626798,0.0003835826620636747,0.00035855145213338117,0.00033875338753387534,0.00032310177705977385,0.00030525030525030525,0.0002894356005788712,0.00055005500550055,0.0007890583903208837,0.0007554772097708386,0.000727802037845706,0.000727802037845706,0.000727802037845706,0.0007279786459597186,0.0007283321194464676,0.0007285089849441476,0.0007290400972053463,0.0007297494526879105,0.0007313505607020966,0.0007333170373991689
aucuns,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,36.0,0.0004920788966497629,0.0004110152075626798,0.0003835826620636747,0.00035855145213338117,0.00033875338753387534,0.0006462035541195477,0.0006105006105006105,0.0005788712011577424,0.00055005500550055,0.0005260389268805891,0.000503651473180559,0.00048520135856380397,0.00048520135856380397,0.00048520135856380397,0.000485319097306479,0.00048555474629764507,0.00048567265662943174,0.0004860267314702309,0.00048649963512527365,0.00048756704046806434,0.0004888780249327792
autonomes,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,89.0,0.001216528383384136,0.0012330456226880395,0.0011507479861910242,0.0014342058085335247,0.0013550135501355014,0.0012924071082390954,0.001221001221001221,0.0011577424023154848,0.0011001100110011,0.0010520778537611783,0.0012591286829513977,0.0012130033964095099,0.0012130033964095099,0.0012130033964095099,0.0012132977432661976,0.0012138868657441126,0.0012141816415735794,0.001215066828675577,0.0012162490878131842,0.0012189176011701609,0.0012221950623319481
gros,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,75.0,0.0010251643680203393,0.0008220304151253596,0.0007671653241273494,0.0010756543564001434,0.0013550135501355014,0.0012924071082390954,0.001221001221001221,0.0011577424023154848,0.0011001100110011,0.0010520778537611783,0.001007302946361118,0.0009704027171276079,0.0009704027171276079,0.0009704027171276079,0.000970638194612958,0.0009711094925952901,0.0009713453132588635,0.0009720534629404617,0.0009729992702505473,0.0009751340809361287,0.0009777560498655585
manifeste,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,129.0,0.0017632827129949835,0.002055076037813399,0.0019179133103183737,0.0017927572606669057,0.0016937669376693768,0.0016155088852988692,0.0018315018315018315,0.0020260492040520984,0.0019251925192519251,0.001841136244082062,0.0017627801561319568,0.001698204754973314,0.001698204754973314,0.001698204754973314,0.0016986168405726766,0.0016994416120417577,0.001699854298203011,0.001701093560145808,0.0017027487229384578,0.0017064846416382253,0.0017110730872647274
linéaire,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,0.00024603944832488143,0.0,0.0,0.00035855145213338117,0.00033875338753387534,0.00032310177705977385,0.00030525030525030525,0.0002894356005788712,0.000275027502750275,0.0002630194634402946,0.0002518257365902795,0.00024260067928190198,0.00024260067928190198,0.00024260067928190198,0.0002426595486532395,0.00024277737314882253,0.00024283632831471587,0.00024301336573511544,0.00024324981756263683,0.00024378352023403217,0.0002444390124663896
militaire,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,76.0,0.0010388332262606104,0.0012330456226880395,0.0011507479861910242,0.0010756543564001434,0.0010162601626016261,0.0012924071082390954,0.001221001221001221,0.0011577424023154848,0.0011001100110011,0.0010520778537611783,0.001007302946361118,0.0009704027171276079,0.0009704027171276079,0.0009704027171276079,0.000970638194612958,0.0009711094925952901,0.0009713453132588635,0.0009720534629404617,0.0009729992702505473,0.0009751340809361287,0.0009777560498655585
vide,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,74.0,0.001011495509780068,0.0008220304151253596,0.0007671653241273494,0.0010756543564001434,0.0010162601626016261,0.0012924071082390954,0.001221001221001221,0.0011577424023154848,0.0011001100110011,0.0010520778537611783,0.001007302946361118,0.0009704027171276079,0.0009704027171276079,0.0009704027171276079,0.000970638194612958,0.0009711094925952901,0.0009713453132588635,0.0009720534629404617,0.0009729992702505473,0.0009751340809361287,0.0009777560498655585
éventuel,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,105.0,0.001435230115228475,0.0012330456226880395,0.0015343306482546988,0.0014342058085335247,0.0013550135501355014,0.0012924071082390954,0.0015262515262515263,0.001447178002894356,0.0013751375137513752,0.0013150973172014729,0.0015109544195416771,0.001455604075691412,0.001455604075691412,0.001455604075691412,0.001455957291919437,0.0014566642388929353,0.0014570179698882952,0.0014580801944106927,0.001459498905375821,0.0014627011214041932,0.0014666340747983377
