,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,tot_occurences,representation_occurences,representation_token_0,representation_token_1,representation_token_2,representation_token_3,representation_token_4,representation_token_5,representation_token_6,representation_token_7,representation_token_8,representation_token_9,representation_token_10,representation_token_11,representation_token_12,representation_token_13,representation_token_14,representation_token_15,representation_token_16,representation_token_17,representation_token_18,representation_token_19
moyennes,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,0.00028108749629120666,0.0,0.0,0.00041339396444811904,0.0003878975950349108,0.0003677822728944465,0.0003477051460361613,0.0003297065611605671,0.00031357792411414236,0.00029967036260113877,0.00028768699654775604,0.0002765486725663717,0.0002765486725663717,0.0002765486725663717,0.0002765486725663717,0.0002767783005812344,0.00027693159789531985,0.0002772387025228722,0.0002777777777777778,0.0002789400278940028,0.0002796420581655481
nette,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,64.0,0.0009994222090354014,0.0009528346831824678,0.0008869179600886918,0.0008267879288962381,0.0007757951900698216,0.000735564545788893,0.0006954102920723226,0.0009891196834817012,0.0009407337723424271,0.0008990110878034162,0.0008630609896432681,0.0011061946902654867,0.0011061946902654867,0.0011061946902654867,0.0011061946902654867,0.0011071132023249377,0.0011077263915812794,0.0011089548100914888,0.0011111111111111111,0.0011157601115760112,0.0011185682326621924
saint,18.0,18.0,21.0,22.0,23.0,25.0,25.0,26.0,26.0,26.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,510.0,0.007964145728250854,0.00857551214864221,0.007982261640798226,0.0086812732534105,0.008533747090768037,0.008458992276572269,0.008692628650904033,0.008242664029014177,0.008153026026967701,0.007791429427629608,0.007479861910241657,0.007743362831858407,0.007743362831858407,0.007743362831858407,0.007743362831858407,0.0077497924162745644,0.007754084741068956,0.007762683670640421,0.0077777777777777776,0.007810320781032078,0.007829977628635347
annuelle,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,60.0,0.0009369583209706888,0.0014292520247737017,0.0013303769401330377,0.0012401818933443572,0.0011636927851047323,0.0011033468186833395,0.001043115438108484,0.0009891196834817012,0.0009407337723424271,0.0008990110878034162,0.0008630609896432681,0.000829646017699115,0.000829646017699115,0.000829646017699115,0.000829646017699115,0.0008303349017437033,0.0008307947936859596,0.0008317161075686166,0.0008333333333333334,0.0008368200836820083,0.0008389261744966443
libérale,18.0,20.0,20.0,20.0,20.0,20.0,20.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,22.0,21.0,21.0,431.0,0.006730483938972781,0.00857551214864221,0.008869179600886918,0.00826787928896238,0.007757951900698216,0.00735564545788893,0.006954102920723227,0.006594131223211342,0.006898714330511132,0.0068924183398261915,0.006616800920598389,0.006360619469026549,0.006360619469026549,0.006360619469026549,0.006360619469026549,0.006365900913368392,0.006369426751592357,0.00637649015802606,0.006111111111111111,0.005857740585774059,0.00587248322147651
désaffecté,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.00031231944032356296,0.0004764173415912339,0.0004434589800443459,0.00041339396444811904,0.0003878975950349108,0.0003677822728944465,0.0003477051460361613,0.0003297065611605671,0.00031357792411414236,0.00029967036260113877,0.00028768699654775604,0.0002765486725663717,0.0002765486725663717,0.0002765486725663717,0.0002765486725663717,0.0002767783005812344,0.00027693159789531985,0.0002772387025228722,0.0002777777777777778,0.0002789400278940028,0.0002796420581655481
extérieurs,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.00024985555225885036,0.0,0.0,0.0,0.0,0.0003677822728944465,0.0003477051460361613,0.0003297065611605671,0.00031357792411414236,0.00029967036260113877,0.00028768699654775604,0.0002765486725663717,0.0002765486725663717,0.0002765486725663717,0.0002765486725663717,0.0002767783005812344,0.00027693159789531985,0.0002772387025228722,0.0002777777777777778,0.0002789400278940028,0.0002796420581655481
fréquents,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.00031231944032356296,0.0004764173415912339,0.0004434589800443459,0.00041339396444811904,0.0003878975950349108,0.0003677822728944465,0.0003477051460361613,0.0003297065611605671,0.00031357792411414236,0.00029967036260113877,0.00028768699654775604,0.0002765486725663717,0.0002765486725663717,0.0002765486725663717,0.0002765486725663717,0.0002767783005812344,0.00027693159789531985,0.0002772387025228722,0.0002777777777777778,0.0002789400278940028,0.0002796420581655481
tels,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,95.0,0.001483517341536924,0.0014292520247737017,0.0017738359201773836,0.002066969822240595,0.001939487975174554,0.0018389113644722325,0.0017385257301808068,0.0016485328058028356,0.0015678896205707118,0.0014983518130056938,0.0014384349827387803,0.0013827433628318584,0.0013827433628318584,0.0013827433628318584,0.0013827433628318584,0.0013838915029061722,0.0013846579894765993,0.0013861935126143609,0.001388888888888889,0.0011157601115760112,0.0011185682326621924
entière,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,43.0,0.0006714867966956603,0.0,0.0004434589800443459,0.00041339396444811904,0.0003878975950349108,0.0003677822728944465,0.0003477051460361613,0.0003297065611605671,0.0006271558482282847,0.0005993407252022775,0.0008630609896432681,0.000829646017699115,0.000829646017699115,0.000829646017699115,0.000829646017699115,0.0008303349017437033,0.0008307947936859596,0.0008317161075686166,0.0008333333333333334,0.0008368200836820083,0.0008389261744966443
