,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,tot_occurences,representation_occurences,representation_token_0,representation_token_1,representation_token_2,representation_token_3,representation_token_4,representation_token_5,representation_token_6,representation_token_7,representation_token_8,representation_token_9,representation_token_10,representation_token_11,representation_token_12,representation_token_13,representation_token_14,representation_token_15,representation_token_16,representation_token_17,representation_token_18,representation_token_19
idéologiques,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,7.795447458684128e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012503125781445363,0.00012001920307249159,0.00011530035743110804,0.00011530035743110804,0.00011531365313653136,0.00011534025374855825,0.00011539349180706209,0.0001155001155001155,0.00011560693641618497,0.00011587485515643106,0.00011641443538998836,0.00011813349084465446
avancé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,7.145826837127118e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012001920307249159,0.00011530035743110804,0.00011530035743110804,0.00011531365313653136,0.00011534025374855825,0.00011539349180706209,0.0001155001155001155,0.00011560693641618497,0.00011587485515643106,0.00011641443538998836,0.00011813349084465446
socialiste,210.0,218.0,232.0,238.0,249.0,254.0,262.0,272.0,276.0,285.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,286.0,284.0,5378.0,0.034936597027336036,0.04099960952752831,0.03952139231327049,0.03940217391304348,0.038159371492704826,0.037870722433460076,0.036552021873650885,0.03584621699274867,0.03549523685240767,0.0345086271567892,0.03420547287566011,0.03332180329759022,0.03332180329759022,0.033325645756457564,0.03333333333333333,0.03334871913224094,0.03337953337953338,0.033410404624277454,0.033487833140208575,0.03329452852153667,0.033549911399881865
contraint,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,9.094688701798149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00013681762210972773,0.00013049719431032232,0.00012503125781445363,0.00012001920307249159,0.00011530035743110804,0.00011530035743110804,0.00011531365313653136,0.00011534025374855825,0.00011539349180706209,0.0001155001155001155,0.00011560693641618497,0.00011587485515643106,0.00011641443538998836,0.00011813349084465446
potentielle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,8.445068080241139e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013049719431032232,0.00012503125781445363,0.00012001920307249159,0.00011530035743110804,0.00011530035743110804,0.00011531365313653136,0.00011534025374855825,0.00011539349180706209,0.0001155001155001155,0.00011560693641618497,0.00011587485515643106,0.00011641443538998836,0.00011813349084465446
immédiate,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,28.0,0.00018189377403596298,0.0,0.0,0.0,0.000160333493666827,0.0001520912547528517,0.0001439055979277594,0.00013681762210972773,0.00013049719431032232,0.00012503125781445363,0.00024003840614498319,0.00023060071486221607,0.00023060071486221607,0.00023062730627306272,0.0002306805074971165,0.00023078698361412417,0.000231000231000231,0.00023121387283236994,0.0002317497103128621,0.00023282887077997672,0.00023626698168930892
poli,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.00010393929944912172,0.0,0.0,0.0,0.0,0.0001520912547528517,0.0001439055979277594,0.00013681762210972773,0.00013049719431032232,0.00012503125781445363,0.00012001920307249159,0.00011530035743110804,0.00011530035743110804,0.00011531365313653136,0.00011534025374855825,0.00011539349180706209,0.0001155001155001155,0.00011560693641618497,0.00011587485515643106,0.00011641443538998836,0.00011813349084465446
argentine,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,53.0,0.00034429892942521565,0.0003904724716907458,0.00036258158085569254,0.00033967391304347825,0.000320666987333654,0.0003041825095057034,0.0002878111958555188,0.00027363524421945547,0.000391491582930967,0.00037509377344336085,0.0003600576092174748,0.0003459010722933241,0.0003459010722933241,0.00034594095940959407,0.00034602076124567473,0.0003461804754211862,0.0003465003465003465,0.0003468208092485549,0.0003476245654692932,0.0003492433061699651,0.0003544004725339634
accompli,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.00012992412431140214,0.0001952362358453729,0.00018129079042784627,0.00016983695652173913,0.000160333493666827,0.0001520912547528517,0.0001439055979277594,0.00013681762210972773,0.00013049719431032232,0.00012503125781445363,0.00012001920307249159,0.00011530035743110804,0.00011530035743110804,0.00011531365313653136,0.00011534025374855825,0.00011539349180706209,0.0001155001155001155,0.00011560693641618497,0.00011587485515643106,0.00011641443538998836,0.00011813349084465446
quelle,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,114.0,0.0007405675085749922,0.0007809449433814916,0.0007251631617113851,0.0006793478260869565,0.000641333974667308,0.0006083650190114068,0.0005756223917110375,0.0005472704884389109,0.0006524859715516117,0.000625156289072268,0.0007201152184349496,0.0008071025020177562,0.0008071025020177562,0.0008071955719557196,0.0008073817762399078,0.0008077544426494346,0.0008085008085008085,0.0008092485549132948,0.0008111239860950173,0.0008149010477299185,0.0008269344359125812
