,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,tot_occurences,representation_occurences,representation_token_0,representation_token_1,representation_token_2,representation_token_3,representation_token_4,representation_token_5,representation_token_6,representation_token_7,representation_token_8,representation_token_9,representation_token_10,representation_token_11,representation_token_12,representation_token_13,representation_token_14,representation_token_15,representation_token_16,representation_token_17,representation_token_18,representation_token_19
moyennes,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,77.0,0.0011410112026554442,0.0013321492007104796,0.0012479201331114808,0.0011650485436893205,0.0014652014652014652,0.001386001386001386,0.0013157894736842105,0.00125,0.001197246333433104,0.0011497556769186547,0.0010937927262783702,0.001048767697954903,0.001049317943336831,0.0010495932826029913,0.0010498687664041995,0.0010509721492380452,0.0010520778537611783,0.001053740779768177,0.0010556875164951175,0.0010607265977194379,0.0010784578053383662
françaises,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,0.00020745658230098986,0.0,0.0,0.0,0.0,0.0,0.0,0.0003125,0.000299311583358276,0.0002874389192296637,0.00027344818156959256,0.00026219192448872575,0.00026232948583420777,0.0002623983206507478,0.00026246719160104987,0.0002627430373095113,0.0002630194634402946,0.00026343519494204424,0.0002639218791237794,0.00026518164942985947,0.00026961445133459155
nette,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,52.0,0.0007705530199751052,0.0008880994671403197,0.0008319467554076539,0.0007766990291262136,0.0007326007326007326,0.000693000693000693,0.0006578947368421052,0.000625,0.000598623166716552,0.0008623167576889911,0.0008203445447087777,0.0007865757734661773,0.0007869884575026233,0.0007871949619522435,0.0007874015748031496,0.0007882291119285339,0.0007890583903208837,0.0007903055848261328,0.000791765637371338,0.0007955449482895784,0.0008088433540037746
saint,19.0,20.0,23.0,25.0,27.0,28.0,29.0,32.0,33.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,34.0,619.0,0.009172544603165194,0.008436944937833037,0.008319467554076539,0.008932038834951457,0.009157509157509158,0.009355509355509356,0.009210526315789473,0.0090625,0.009577970667464832,0.009485484334578902,0.009297238173366147,0.009176717357105402,0.009181532004197272,0.009183941222776174,0.009186351706036745,0.009196006305832895,0.00920568122041031,0.00922023182297155,0.009237265769332278,0.00928135773004508,0.009166891345376111
occupé,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,68.0,0.0010076462568905222,0.0008880994671403197,0.0008319467554076539,0.0007766990291262136,0.001098901098901099,0.0010395010395010396,0.000986842105263158,0.0009375,0.0008979347500748278,0.0008623167576889911,0.0010937927262783702,0.001048767697954903,0.001049317943336831,0.0010495932826029913,0.0010498687664041995,0.0010509721492380452,0.0010520778537611783,0.001053740779768177,0.0010556875164951175,0.0010607265977194379,0.0010784578053383662
giscardien,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.00029636654614427125,0.0004440497335701599,0.00041597337770382697,0.0003883495145631068,0.0003663003663003663,0.0003465003465003465,0.0003289473684210526,0.0003125,0.000299311583358276,0.0002874389192296637,0.00027344818156959256,0.00026219192448872575,0.00026232948583420777,0.0002623983206507478,0.00026246719160104987,0.0002627430373095113,0.0002630194634402946,0.00026343519494204424,0.0002639218791237794,0.00026518164942985947,0.00026961445133459155
libérale,23.0,23.0,24.0,24.0,24.0,24.0,25.0,26.0,28.0,29.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,30.0,27.0,555.0,0.008224171655503527,0.010213143872113677,0.00956738768718802,0.009320388349514564,0.008791208791208791,0.008316008316008316,0.007894736842105263,0.0078125,0.007782101167315175,0.008048289738430584,0.007929997265518185,0.008127949659150499,0.00813221406086044,0.008134347940173182,0.008136482939632546,0.00814503415659485,0.008153603366649132,0.008166491043203371,0.008181578252837161,0.007955449482895784,0.007279590186033971
désaffecté,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.00029636654614427125,0.0004440497335701599,0.00041597337770382697,0.0003883495145631068,0.0003663003663003663,0.0003465003465003465,0.0003289473684210526,0.0003125,0.000299311583358276,0.0002874389192296637,0.00027344818156959256,0.00026219192448872575,0.00026232948583420777,0.0002623983206507478,0.00026246719160104987,0.0002627430373095113,0.0002630194634402946,0.00026343519494204424,0.0002639218791237794,0.00026518164942985947,0.00026961445133459155
vagues,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.00022227490960820344,0.0,0.0,0.0,0.0,0.0,0.0003289473684210526,0.0003125,0.000299311583358276,0.0002874389192296637,0.00027344818156959256,0.00026219192448872575,0.00026232948583420777,0.0002623983206507478,0.00026246719160104987,0.0002627430373095113,0.0002630194634402946,0.00026343519494204424,0.0002639218791237794,0.00026518164942985947,0.00026961445133459155
tels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,0.0001926382549937763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000299311583358276,0.0002874389192296637,0.00027344818156959256,0.00026219192448872575,0.00026232948583420777,0.0002623983206507478,0.00026246719160104987,0.0002627430373095113,0.0002630194634402946,0.00026343519494204424,0.0002639218791237794,0.00026518164942985947,0.00026961445133459155
perdus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,30.0,0.00044454981921640687,0.0004440497335701599,0.00041597337770382697,0.0003883495145631068,0.0003663003663003663,0.0003465003465003465,0.0003289473684210526,0.0003125,0.000299311583358276,0.0002874389192296637,0.00027344818156959256,0.0005243838489774515,0.0005246589716684155,0.0005247966413014956,0.0005249343832020997,0.0005254860746190226,0.0005260389268805891,0.0005268703898840885,0.0005278437582475588,0.0005303632988597189,0.0005392289026691831
absurde,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.00029636654614427125,0.0004440497335701599,0.00041597337770382697,0.0003883495145631068,0.0003663003663003663,0.0003465003465003465,0.0003289473684210526,0.0003125,0.000299311583358276,0.0002874389192296637,0.00027344818156959256,0.00026219192448872575,0.00026232948583420777,0.0002623983206507478,0.00026246719160104987,0.0002627430373095113,0.0002630194634402946,0.00026343519494204424,0.0002639218791237794,0.00026518164942985947,0.00026961445133459155
entière,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,0.00016300160037934918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027344818156959256,0.00026219192448872575,0.00026232948583420777,0.0002623983206507478,0.00026246719160104987,0.0002627430373095113,0.0002630194634402946,0.00026343519494204424,0.0002639218791237794,0.00026518164942985947,0.00026961445133459155
autonomes,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,81.0,0.0012002845118842984,0.0013321492007104796,0.0012479201331114808,0.0011650485436893205,0.001098901098901099,0.0010395010395010396,0.000986842105263158,0.0009375,0.0008979347500748278,0.0011497556769186547,0.0013672409078479629,0.0013109596224436288,0.0013116474291710388,0.0013119916032537393,0.0013123359580052493,0.0013137151865475565,0.0013150973172014729,0.0013171759747102212,0.0013196093956188968,0.0010607265977194379,0.0010784578053383662
gros,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,0.000474186473830834,0.0004440497335701599,0.00041597337770382697,0.0003883495145631068,0.0003663003663003663,0.0003465003465003465,0.0003289473684210526,0.0003125,0.000299311583358276,0.0005748778384593274,0.0005468963631391851,0.0005243838489774515,0.0005246589716684155,0.0005247966413014956,0.0005249343832020997,0.0005254860746190226,0.0005260389268805891,0.0005268703898840885,0.0005278437582475588,0.0005303632988597189,0.0005392289026691831
manifeste,10.0,11.0,11.0,11.0,12.0,12.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,276.0,0.004089858336790943,0.004440497335701598,0.004575707154742097,0.004271844660194175,0.00402930402930403,0.004158004158004158,0.003947368421052632,0.004375,0.004489673750374139,0.004311583788444955,0.004101722723543888,0.003932878867330886,0.003934942287513116,0.003935974809761217,0.003937007874015748,0.003941145559642669,0.003945291951604419,0.003951527924130664,0.00395882818685669,0.003977724741447892,0.004044216770018873
justifiées,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,38.0,0.0005630964376741154,0.0004440497335701599,0.00041597337770382697,0.0007766990291262136,0.0007326007326007326,0.000693000693000693,0.0006578947368421052,0.000625,0.000598623166716552,0.0005748778384593274,0.0005468963631391851,0.0005243838489774515,0.0005246589716684155,0.0005247966413014956,0.0005249343832020997,0.0005254860746190226,0.0005260389268805891,0.0005268703898840885,0.0005278437582475588,0.0005303632988597189,0.0005392289026691831
militaire,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,158.0,0.0023412957145397427,0.002220248667850799,0.0020798668885191347,0.002330097087378641,0.002197802197802198,0.0024255024255024253,0.002302631578947368,0.0025,0.002394492666866208,0.0022995113538373095,0.0021875854525567405,0.0023597273203985318,0.00236096537250787,0.0023615848858567303,0.002362204724409449,0.002364687335785602,0.002367175170962651,0.0023709167544783984,0.0023752969121140144,0.002386634844868735,0.0024265300620113237
éventuel,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,52.0,0.0007705530199751052,0.0008880994671403197,0.0008319467554076539,0.0007766990291262136,0.0007326007326007326,0.000693000693000693,0.000986842105263158,0.0009375,0.0008979347500748278,0.0008623167576889911,0.0008203445447087777,0.0007865757734661773,0.0007869884575026233,0.0007871949619522435,0.0007874015748031496,0.0007882291119285339,0.0007890583903208837,0.0007903055848261328,0.0005278437582475588,0.0005303632988597189,0.0005392289026691831
désastreuse,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,0.00020745658230098986,0.0,0.0,0.0,0.0,0.0,0.0,0.0003125,0.000299311583358276,0.0002874389192296637,0.00027344818156959256,0.00026219192448872575,0.00026232948583420777,0.0002623983206507478,0.00026246719160104987,0.0002627430373095113,0.0002630194634402946,0.00026343519494204424,0.0002639218791237794,0.00026518164942985947,0.00026961445133459155
étrangers,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,57.0,0.000844644656511173,0.0004440497335701599,0.0008319467554076539,0.0011650485436893205,0.001098901098901099,0.0010395010395010396,0.000986842105263158,0.0009375,0.0008979347500748278,0.0008623167576889911,0.0008203445447087777,0.0007865757734661773,0.0007869884575026233,0.0007871949619522435,0.0007874015748031496,0.0007882291119285339,0.0007890583903208837,0.0007903055848261328,0.000791765637371338,0.0007955449482895784,0.0008088433540037746
départementales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.00014818327307213562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026219192448872575,0.00026232948583420777,0.0002623983206507478,0.00026246719160104987,0.0002627430373095113,0.0002630194634402946,0.00026343519494204424,0.0002639218791237794,0.00026518164942985947,0.00026961445133459155
établis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,0.00016300160037934918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027344818156959256,0.00026219192448872575,0.00026232948583420777,0.0002623983206507478,0.00026246719160104987,0.0002627430373095113,0.0002630194634402946,0.00026343519494204424,0.0002639218791237794,0.00026518164942985947,0.00026961445133459155
totalitaire,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.00029636654614427125,0.0004440497335701599,0.00041597337770382697,0.0003883495145631068,0.0003663003663003663,0.0003465003465003465,0.0003289473684210526,0.0003125,0.000299311583358276,0.0002874389192296637,0.00027344818156959256,0.00026219192448872575,0.00026232948583420777,0.0002623983206507478,0.00026246719160104987,0.0002627430373095113,0.0002630194634402946,0.00026343519494204424,0.0002639218791237794,0.00026518164942985947,0.00026961445133459155
répandues,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.00022227490960820344,0.0,0.0,0.0,0.0,0.0,0.0003289473684210526,0.0003125,0.000299311583358276,0.0002874389192296637,0.00027344818156959256,0.00026219192448872575,0.00026232948583420777,0.0002623983206507478,0.00026246719160104987,0.0002627430373095113,0.0002630194634402946,0.00026343519494204424,0.0002639218791237794,0.00026518164942985947,0.00026961445133459155
obstiné,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,40.0,0.0005927330922885425,0.0008880994671403197,0.0008319467554076539,0.0007766990291262136,0.0007326007326007326,0.000693000693000693,0.0006578947368421052,0.000625,0.000598623166716552,0.0005748778384593274,0.0005468963631391851,0.0005243838489774515,0.0005246589716684155,0.0005247966413014956,0.0005249343832020997,0.0005254860746190226,0.0005260389268805891,0.0005268703898840885,0.0005278437582475588,0.0005303632988597189,0.0005392289026691831
satisfaisante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,24.0,0.0003556398553731255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000299311583358276,0.0002874389192296637,0.0005468963631391851,0.0005243838489774515,0.0005246589716684155,0.0005247966413014956,0.0005249343832020997,0.0005254860746190226,0.0005260389268805891,0.0005268703898840885,0.0005278437582475588,0.0005303632988597189,0.0005392289026691831
