,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,tot_occurences,representation_occurences,representation_token_0,representation_token_1,representation_token_2,representation_token_3,representation_token_4,representation_token_5,representation_token_6,representation_token_7,representation_token_8,representation_token_9,representation_token_10,representation_token_11,representation_token_12,representation_token_13,representation_token_14,representation_token_15,representation_token_16,representation_token_17,representation_token_18,representation_token_19
cathédrale,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0008366888040579407,0.0,0.0,0.0,0.0,0.0012004801920768306,0.0011261261261261261,0.0010741138560687433,0.0010319917440660474,0.0009970089730807576,0.0009523809523809524,0.0009115770282588879,0.0009124087591240876,0.0009124087591240876,0.0009140767824497258,0.0009165902841429881,0.0009225092250922509,0.0009398496240601503,0.0009689922480620155,0.000999000999000999,0.0010416666666666667
moyennes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.001045861005072426,0.0015873015873015873,0.0014577259475218659,0.001364256480218281,0.0012738853503184713,0.0012004801920768306,0.0011261261261261261,0.0010741138560687433,0.0010319917440660474,0.0009970089730807576,0.0009523809523809524,0.0009115770282588879,0.0009124087591240876,0.0009124087591240876,0.0009140767824497258,0.0009165902841429881,0.0009225092250922509,0.0009398496240601503,0.0009689922480620155,0.000999000999000999,0.0010416666666666667
vague,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,0.0009935679548188046,0.0,0.0014577259475218659,0.001364256480218281,0.0012738853503184713,0.0012004801920768306,0.0011261261261261261,0.0010741138560687433,0.0010319917440660474,0.0009970089730807576,0.0009523809523809524,0.0009115770282588879,0.0009124087591240876,0.0009124087591240876,0.0009140767824497258,0.0009165902841429881,0.0009225092250922509,0.0009398496240601503,0.0009689922480620155,0.000999000999000999,0.0010416666666666667
saint,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0007843957538043194,0.0,0.0,0.0,0.0,0.0,0.0011261261261261261,0.0010741138560687433,0.0010319917440660474,0.0009970089730807576,0.0009523809523809524,0.0009115770282588879,0.0009124087591240876,0.0009124087591240876,0.0009140767824497258,0.0009165902841429881,0.0009225092250922509,0.0009398496240601503,0.0009689922480620155,0.000999000999000999,0.0010416666666666667
vraie,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,38.0,0.0019871359096376093,0.0015873015873015873,0.0014577259475218659,0.002728512960436562,0.0025477707006369425,0.0024009603841536613,0.0022522522522522522,0.0021482277121374865,0.0020639834881320948,0.0019940179461615153,0.0019047619047619048,0.0018231540565177757,0.0018248175182481751,0.0018248175182481751,0.0018281535648994515,0.0018331805682859762,0.0018450184501845018,0.0018796992481203006,0.001937984496124031,0.001998001998001998,0.0020833333333333333
libérale,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,31.0,0.0016210845578622601,0.0015873015873015873,0.0014577259475218659,0.001364256480218281,0.0012738853503184713,0.0012004801920768306,0.0011261261261261261,0.0010741138560687433,0.0010319917440660474,0.0009970089730807576,0.0019047619047619048,0.0018231540565177757,0.0018248175182481751,0.0018248175182481751,0.0018281535648994515,0.0018331805682859762,0.0018450184501845018,0.0018796992481203006,0.001937984496124031,0.001998001998001998,0.0020833333333333333
tels,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,33.0,0.0017256706583695027,0.0015873015873015873,0.0014577259475218659,0.001364256480218281,0.0012738853503184713,0.0012004801920768306,0.0022522522522522522,0.0021482277121374865,0.0020639834881320948,0.0019940179461615153,0.0019047619047619048,0.0018231540565177757,0.0018248175182481751,0.0018248175182481751,0.0018281535648994515,0.0018331805682859762,0.0018450184501845018,0.0018796992481203006,0.001937984496124031,0.000999000999000999,0.0010416666666666667
condamnable,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0008366888040579407,0.0,0.0,0.0,0.0,0.0012004801920768306,0.0011261261261261261,0.0010741138560687433,0.0010319917440660474,0.0009970089730807576,0.0009523809523809524,0.0009115770282588879,0.0009124087591240876,0.0009124087591240876,0.0009140767824497258,0.0009165902841429881,0.0009225092250922509,0.0009398496240601503,0.0009689922480620155,0.000999000999000999,0.0010416666666666667
pensables,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0007843957538043194,0.0,0.0,0.0,0.0,0.0,0.0011261261261261261,0.0010741138560687433,0.0010319917440660474,0.0009970089730807576,0.0009523809523809524,0.0009115770282588879,0.0009124087591240876,0.0009124087591240876,0.0009140767824497258,0.0009165902841429881,0.0009225092250922509,0.0009398496240601503,0.0009689922480620155,0.000999000999000999,0.0010416666666666667
morts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,0.0005752235527898342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009523809523809524,0.0009115770282588879,0.0009124087591240876,0.0009124087591240876,0.0009140767824497258,0.0009165902841429881,0.0009225092250922509,0.0009398496240601503,0.0009689922480620155,0.000999000999000999,0.0010416666666666667
