,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,tot_occurences,representation_occurences,representation_token_0,representation_token_1,representation_token_2,representation_token_3,representation_token_4,representation_token_5,representation_token_6,representation_token_7,representation_token_8,representation_token_9,representation_token_10,representation_token_11,representation_token_12,representation_token_13,representation_token_14,representation_token_15,representation_token_16,representation_token_17,representation_token_18,representation_token_19
tien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0005947778504728484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010362694300518134,0.0010362694300518134,0.001037344398340249,0.0010384215991692627,0.001040582726326743,0.0010438413361169101,0.0010471204188481676,0.001049317943336831,0.0010548523206751054,0.001059322033898305
saint,4.0,4.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,146.0,0.008683756616903586,0.007766990291262136,0.006993006993006993,0.009615384615384616,0.010479041916167664,0.009900990099009901,0.009408602150537635,0.008860759493670886,0.009592326139088728,0.009184845005740528,0.008771929824561403,0.008290155440414507,0.008290155440414507,0.008298755186721992,0.008307372793354102,0.008324661810613945,0.008350730688935281,0.008376963350785341,0.008394543546694649,0.008438818565400843,0.00847457627118644
commerçants,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0009516445607565575,0.0,0.0,0.0,0.0,0.0014144271570014145,0.0013440860215053765,0.0012658227848101266,0.001199040767386091,0.001148105625717566,0.0010964912280701754,0.0010362694300518134,0.0010362694300518134,0.001037344398340249,0.0010384215991692627,0.001040582726326743,0.0010438413361169101,0.0010471204188481676,0.001049317943336831,0.0010548523206751054,0.001059322033898305
libérale,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,426.0,0.025337536430143342,0.038834951456310676,0.03496503496503497,0.03205128205128205,0.029940119760479042,0.0297029702970297,0.028225806451612902,0.026582278481012658,0.025179856115107913,0.024110218140068886,0.023026315789473683,0.022797927461139896,0.022797927461139896,0.022821576763485476,0.02284527518172378,0.022892819979188347,0.022964509394572025,0.023036649214659685,0.023084994753410283,0.023206751054852322,0.023305084745762712
désaffecté,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0011895557009456968,0.001941747572815534,0.0017482517482517483,0.0016025641025641025,0.0014970059880239522,0.0014144271570014145,0.0013440860215053765,0.0012658227848101266,0.001199040767386091,0.001148105625717566,0.0010964912280701754,0.0010362694300518134,0.0010362694300518134,0.001037344398340249,0.0010384215991692627,0.001040582726326743,0.0010438413361169101,0.0010471204188481676,0.001049317943336831,0.0010548523206751054,0.001059322033898305
vigilants,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,25.0,0.001486944626182121,0.0,0.0,0.0,0.0,0.0,0.0013440860215053765,0.0012658227848101266,0.001199040767386091,0.001148105625717566,0.0010964912280701754,0.002072538860103627,0.002072538860103627,0.002074688796680498,0.0020768431983385254,0.002081165452653486,0.0020876826722338203,0.0020942408376963353,0.002098635886673662,0.002109704641350211,0.00211864406779661
bernoises,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0008921667757092725,0.0,0.0,0.0,0.0,0.0,0.0013440860215053765,0.0012658227848101266,0.001199040767386091,0.001148105625717566,0.0010964912280701754,0.0010362694300518134,0.0010362694300518134,0.001037344398340249,0.0010384215991692627,0.001040582726326743,0.0010438413361169101,0.0010471204188481676,0.001049317943336831,0.0010548523206751054,0.001059322033898305
conservateurs,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,51.0,0.003033367037411527,0.003883495145631068,0.0034965034965034965,0.003205128205128205,0.0029940119760479044,0.002828854314002829,0.002688172043010753,0.002531645569620253,0.002398081534772182,0.002296211251435132,0.003289473684210526,0.0031088082901554403,0.0031088082901554403,0.0031120331950207467,0.003115264797507788,0.003121748178980229,0.003131524008350731,0.0031413612565445027,0.0031479538300104933,0.0031645569620253164,0.0031779661016949155
clairs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,0.001903289121513115,0.001941747572815534,0.0017482517482517483,0.0016025641025641025,0.0014970059880239522,0.0014144271570014145,0.0013440860215053765,0.0012658227848101266,0.001199040767386091,0.002296211251435132,0.0021929824561403508,0.002072538860103627,0.002072538860103627,0.002074688796680498,0.0020768431983385254,0.002081165452653486,0.0020876826722338203,0.0020942408376963353,0.002098635886673662,0.002109704641350211,0.00211864406779661
proportionnel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,0.0006542556355201332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010964912280701754,0.0010362694300518134,0.0010362694300518134,0.001037344398340249,0.0010384215991692627,0.001040582726326743,0.0010438413361169101,0.0010471204188481676,0.001049317943336831,0.0010548523206751054,0.001059322033898305
orthodoxes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0011895557009456968,0.001941747572815534,0.0017482517482517483,0.0016025641025641025,0.0014970059880239522,0.0014144271570014145,0.0013440860215053765,0.0012658227848101266,0.001199040767386091,0.001148105625717566,0.0010964912280701754,0.0010362694300518134,0.0010362694300518134,0.001037344398340249,0.0010384215991692627,0.001040582726326743,0.0010438413361169101,0.0010471204188481676,0.001049317943336831,0.0010548523206751054,0.001059322033898305
tacite,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,28.0,0.0016653779813239754,0.0,0.0,0.0,0.0014970059880239522,0.0014144271570014145,0.0013440860215053765,0.0012658227848101266,0.001199040767386091,0.001148105625717566,0.0021929824561403508,0.002072538860103627,0.002072538860103627,0.002074688796680498,0.0020768431983385254,0.002081165452653486,0.0020876826722338203,0.0020942408376963353,0.002098635886673662,0.002109704641350211,0.00211864406779661
municipal,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,0.0010706001308511271,0.0,0.0,0.0016025641025641025,0.0014970059880239522,0.0014144271570014145,0.0013440860215053765,0.0012658227848101266,0.001199040767386091,0.001148105625717566,0.0010964912280701754,0.0010362694300518134,0.0010362694300518134,0.001037344398340249,0.0010384215991692627,0.001040582726326743,0.0010438413361169101,0.0010471204188481676,0.001049317943336831,0.0010548523206751054,0.001059322033898305
intérieur,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,27.0,0.0016059001962766906,0.0,0.0,0.0,0.0,0.0,0.0013440860215053765,0.0012658227848101266,0.001199040767386091,0.002296211251435132,0.0021929824561403508,0.002072538860103627,0.002072538860103627,0.002074688796680498,0.0020768431983385254,0.002081165452653486,0.0020876826722338203,0.0020942408376963353,0.002098635886673662,0.002109704641350211,0.00211864406779661
autres,7.0,7.0,7.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,197.0,0.011717123654315114,0.013592233009708738,0.012237762237762238,0.011217948717948718,0.011976047904191617,0.011315417256011316,0.013440860215053764,0.012658227848101266,0.011990407673860911,0.011481056257175661,0.010964912280701754,0.011398963730569948,0.011398963730569948,0.011410788381742738,0.01142263759086189,0.011446409989594173,0.011482254697286013,0.011518324607329843,0.011542497376705142,0.011603375527426161,0.011652542372881356
autonomes,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,0.001130077915898412,0.0,0.0017482517482517483,0.0016025641025641025,0.0014970059880239522,0.0014144271570014145,0.0013440860215053765,0.0012658227848101266,0.001199040767386091,0.001148105625717566,0.0010964912280701754,0.0010362694300518134,0.0010362694300518134,0.001037344398340249,0.0010384215991692627,0.001040582726326743,0.0010438413361169101,0.0010471204188481676,0.001049317943336831,0.0010548523206751054,0.001059322033898305
populaires,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0005947778504728484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010362694300518134,0.0010362694300518134,0.001037344398340249,0.0010384215991692627,0.001040582726326743,0.0010438413361169101,0.0010471204188481676,0.001049317943336831,0.0010548523206751054,0.001059322033898305
