,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,tot_occurences,representation_occurences,representation_token_0,representation_token_1,representation_token_2,representation_token_3,representation_token_4,representation_token_5,representation_token_6,representation_token_7,representation_token_8,representation_token_9,representation_token_10,representation_token_11,representation_token_12,representation_token_13,representation_token_14,representation_token_15,representation_token_16,representation_token_17,representation_token_18,representation_token_19
pris,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,132.0,0.004168245547555892,0.005819592628516004,0.005338078291814947,0.0049382716049382715,0.004647560030983733,0.00437636761487965,0.004160887656033287,0.003970880211780278,0.003766478342749529,0.004234724742891712,0.004046242774566474,0.00390625,0.003908431044109436,0.0039149888143176735,0.003919372900335946,0.003923766816143498,0.0039347948285553686,0.003943661971830986,0.003959276018099547,0.004004576659038902,0.004127358490566038
chrétiennes,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.00047366426676771507,0.0,0.0,0.0,0.0,0.0,0.0006934812760055479,0.0006618133686300463,0.0006277463904582549,0.0006049606775559589,0.0005780346820809249,0.0005580357142857143,0.0005583472920156337,0.0005592841163310962,0.0005599104143337066,0.0005605381165919282,0.0005621135469364812,0.0005633802816901409,0.0005656108597285068,0.0005720823798627002,0.0005896226415094339
citoyens,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,105.0,0.0033156498673740055,0.004849660523763337,0.004448398576512456,0.00411522633744856,0.0038729666924864447,0.0036469730123997084,0.0034674063800277394,0.0033090668431502318,0.003138731952291274,0.0030248033877797943,0.003468208092485549,0.0033482142857142855,0.0033500837520938024,0.003355704697986577,0.0033594624860022394,0.0033632286995515697,0.003372681281618887,0.0033802816901408453,0.0022624434389140274,0.002288329519450801,0.0023584905660377358
occidentale,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,0.0004420866489832007,0.0,0.0,0.0,0.0,0.0,0.0,0.0006618133686300463,0.0006277463904582549,0.0006049606775559589,0.0005780346820809249,0.0005580357142857143,0.0005583472920156337,0.0005592841163310962,0.0005599104143337066,0.0005605381165919282,0.0005621135469364812,0.0005633802816901409,0.0005656108597285068,0.0005720823798627002,0.0005896226415094339
traditionnels,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,0.0005999747379057724,0.0,0.0008896797153024911,0.0008230452674897119,0.000774593338497289,0.0007293946024799417,0.0006934812760055479,0.0006618133686300463,0.0006277463904582549,0.0006049606775559589,0.0005780346820809249,0.0005580357142857143,0.0005583472920156337,0.0005592841163310962,0.0005599104143337066,0.0005605381165919282,0.0005621135469364812,0.0005633802816901409,0.0005656108597285068,0.0005720823798627002,0.0005896226415094339
vaudois,8.0,19.0,21.0,21.0,21.0,22.0,23.0,25.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,484.0,0.015283567007704939,0.007759456838021339,0.016903914590747332,0.01728395061728395,0.016266460108443067,0.015317286652078774,0.015256588072122053,0.015221707478491065,0.015693659761456372,0.016333938294010888,0.01560693641618497,0.015066964285714286,0.01507537688442211,0.015100671140939598,0.015117581187010079,0.015134529147982063,0.01517706576728499,0.015211267605633802,0.015271493212669683,0.015446224256292907,0.015919811320754717
sortants,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,60.0,0.0018946570670708603,0.002909796314258002,0.0026690391459074734,0.0024691358024691358,0.0023237800154918666,0.002188183807439825,0.0020804438280166435,0.001985440105890139,0.0018832391713747645,0.0018148820326678765,0.0017341040462427746,0.0016741071428571428,0.0016750418760469012,0.0016778523489932886,0.0016797312430011197,0.0016816143497757848,0.0016863406408094434,0.0016901408450704226,0.0016968325791855204,0.0017162471395881006,0.001768867924528302
clairs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,0.0010104837691044587,0.0009699321047526673,0.0008896797153024911,0.0008230452674897119,0.000774593338497289,0.0007293946024799417,0.0006934812760055479,0.0006618133686300463,0.0006277463904582549,0.0012099213551119178,0.0011560693641618498,0.0011160714285714285,0.0011166945840312675,0.0011185682326621924,0.0011198208286674132,0.0011210762331838565,0.0011242270938729624,0.0011267605633802818,0.0011312217194570137,0.0011441647597254005,0.0011792452830188679
urgente,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,29.0,0.0009157509157509158,0.0,0.0,0.0,0.000774593338497289,0.0007293946024799417,0.0006934812760055479,0.0006618133686300463,0.0006277463904582549,0.0012099213551119178,0.0011560693641618498,0.0011160714285714285,0.0011166945840312675,0.0011185682326621924,0.0011198208286674132,0.0011210762331838565,0.0011242270938729624,0.0011267605633802818,0.0011312217194570137,0.0011441647597254005,0.0011792452830188679
importants,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,0.0005999747379057724,0.0,0.0008896797153024911,0.0008230452674897119,0.000774593338497289,0.0007293946024799417,0.0006934812760055479,0.0006618133686300463,0.0006277463904582549,0.0006049606775559589,0.0005780346820809249,0.0005580357142857143,0.0005583472920156337,0.0005592841163310962,0.0005599104143337066,0.0005605381165919282,0.0005621135469364812,0.0005633802816901409,0.0005656108597285068,0.0005720823798627002,0.0005896226415094339
conséquente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0003157761778451434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005580357142857143,0.0005583472920156337,0.0005592841163310962,0.0005599104143337066,0.0005605381165919282,0.0005621135469364812,0.0005633802816901409,0.0005656108597285068,0.0005720823798627002,0.0005896226415094339
nôtres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0003157761778451434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005580357142857143,0.0005583472920156337,0.0005592841163310962,0.0005599104143337066,0.0005605381165919282,0.0005621135469364812,0.0005633802816901409,0.0005656108597285068,0.0005720823798627002,0.0005896226415094339
financier,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,67.0,0.0021157003915624607,0.0019398642095053346,0.0017793594306049821,0.0016460905349794238,0.001549186676994578,0.0014587892049598833,0.0013869625520110957,0.001985440105890139,0.0025109855618330196,0.0024198427102238356,0.0023121387283236996,0.002232142857142857,0.002233389168062535,0.0022371364653243847,0.0022396416573348264,0.002242152466367713,0.0022484541877459247,0.0022535211267605635,0.0022624434389140274,0.002288329519450801,0.0023584905660377358
financiers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0003157761778451434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005580357142857143,0.0005583472920156337,0.0005592841163310962,0.0005599104143337066,0.0005605381165919282,0.0005621135469364812,0.0005633802816901409,0.0005656108597285068,0.0005720823798627002,0.0005896226415094339
sainte,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0005052418845522293,0.0,0.0,0.0,0.0,0.0007293946024799417,0.0006934812760055479,0.0006618133686300463,0.0006277463904582549,0.0006049606775559589,0.0005780346820809249,0.0005580357142857143,0.0005583472920156337,0.0005592841163310962,0.0005599104143337066,0.0005605381165919282,0.0005621135469364812,0.0005633802816901409,0.0005656108597285068,0.0005720823798627002,0.0005896226415094339
ultime,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,0.0005999747379057724,0.0,0.0008896797153024911,0.0008230452674897119,0.000774593338497289,0.0007293946024799417,0.0006934812760055479,0.0006618133686300463,0.0006277463904582549,0.0006049606775559589,0.0005780346820809249,0.0005580357142857143,0.0005583472920156337,0.0005592841163310962,0.0005599104143337066,0.0005605381165919282,0.0005621135469364812,0.0005633802816901409,0.0005656108597285068,0.0005720823798627002,0.0005896226415094339
libérale,13.0,13.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,302.0,0.00953644057092333,0.012609117361784675,0.011565836298932384,0.010699588477366255,0.010069713400464756,0.010940919037199124,0.010402219140083218,0.009927200529450696,0.009416195856873822,0.009074410163339383,0.008670520231213872,0.008928571428571428,0.00893355667225014,0.008948545861297539,0.008958566629339306,0.008968609865470852,0.008993816750983699,0.009014084507042254,0.00904977375565611,0.009153318077803204,0.009433962264150943
genevois,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,31.0,0.0009789061513199445,0.0,0.0008896797153024911,0.0008230452674897119,0.000774593338497289,0.0007293946024799417,0.0006934812760055479,0.0006618133686300463,0.0006277463904582549,0.0012099213551119178,0.0011560693641618498,0.0011160714285714285,0.0011166945840312675,0.0011185682326621924,0.0011198208286674132,0.0011210762331838565,0.0011242270938729624,0.0011267605633802818,0.0011312217194570137,0.0011441647597254005,0.0011792452830188679
partie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,0.0003473537956296577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005780346820809249,0.0005580357142857143,0.0005583472920156337,0.0005592841163310962,0.0005599104143337066,0.0005605381165919282,0.0005621135469364812,0.0005633802816901409,0.0005656108597285068,0.0005720823798627002,0.0005896226415094339
critiques,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0006315523556902868,0.0009699321047526673,0.0008896797153024911,0.0008230452674897119,0.000774593338497289,0.0007293946024799417,0.0006934812760055479,0.0006618133686300463,0.0006277463904582549,0.0006049606775559589,0.0005780346820809249,0.0005580357142857143,0.0005583472920156337,0.0005592841163310962,0.0005599104143337066,0.0005605381165919282,0.0005621135469364812,0.0005633802816901409,0.0005656108597285068,0.0005720823798627002,0.0005896226415094339
excellentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0003157761778451434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005580357142857143,0.0005583472920156337,0.0005592841163310962,0.0005599104143337066,0.0005605381165919282,0.0005621135469364812,0.0005633802816901409,0.0005656108597285068,0.0005720823798627002,0.0005896226415094339
