,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,tot_occurences,representation_occurences,representation_token_0,representation_token_1,representation_token_2,representation_token_3,representation_token_4,representation_token_5,representation_token_6,representation_token_7,representation_token_8,representation_token_9,representation_token_10,representation_token_11,representation_token_12,representation_token_13,representation_token_14,representation_token_15,representation_token_16,representation_token_17,representation_token_18,representation_token_19
nouvel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,0.001166435809579354,0.0011402508551881414,0.0010559662090813093,0.0009910802775024777,0.0009165902841429881,0.0008620689655172414,0.0008163265306122449,0.0007704160246533128,0.0007320644216691069,0.0013966480446927375,0.0013377926421404682,0.0012861736334405145,0.0012861736334405145,0.0012861736334405145,0.001287001287001287,0.001287001287001287,0.001287001287001287,0.001287001287001287,0.001287001287001287,0.0012903225806451613,0.0012911555842479018
tien,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,42.0,0.0015309470000729021,0.0011402508551881414,0.0010559662090813093,0.0009910802775024777,0.0009165902841429881,0.0008620689655172414,0.0008163265306122449,0.0007704160246533128,0.0007320644216691069,0.0013966480446927375,0.0013377926421404682,0.0019292604501607716,0.0019292604501607716,0.0019292604501607716,0.0019305019305019305,0.0019305019305019305,0.0019305019305019305,0.0019305019305019305,0.0019305019305019305,0.001935483870967742,0.001936733376371853
consistant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.00036451119049354816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006430868167202572,0.0006430868167202572,0.0006430868167202572,0.0006435006435006435,0.0006435006435006435,0.0006435006435006435,0.0006435006435006435,0.0006435006435006435,0.0006451612903225806,0.0006455777921239509
nette,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0007290223809870963,0.0011402508551881414,0.0010559662090813093,0.0009910802775024777,0.0009165902841429881,0.0008620689655172414,0.0008163265306122449,0.0007704160246533128,0.0007320644216691069,0.0006983240223463687,0.0006688963210702341,0.0006430868167202572,0.0006430868167202572,0.0006430868167202572,0.0006435006435006435,0.0006435006435006435,0.0006435006435006435,0.0006435006435006435,0.0006435006435006435,0.0006451612903225806,0.0006455777921239509
saint,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,169.0,0.006160239119340964,0.00798175598631699,0.007391763463569166,0.006937561942517344,0.007332722273143905,0.006896551724137931,0.006530612244897959,0.0061633281972265025,0.005856515373352855,0.006284916201117319,0.006020066889632107,0.005787781350482315,0.005787781350482315,0.005787781350482315,0.005791505791505791,0.005791505791505791,0.005791505791505791,0.005791505791505791,0.005791505791505791,0.005806451612903226,0.005810200129115558
commerçants,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,60.0,0.002187067142961289,0.0034207525655644243,0.0031678986272439284,0.002973240832507433,0.002749770852428964,0.002586206896551724,0.0024489795918367346,0.0023112480739599386,0.0021961932650073207,0.002094972067039106,0.002006688963210702,0.0019292604501607716,0.0019292604501607716,0.0019292604501607716,0.0019305019305019305,0.0019305019305019305,0.0019305019305019305,0.0019305019305019305,0.0019305019305019305,0.001935483870967742,0.001936733376371853
libérale,16.0,16.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,364.0,0.013268207333965153,0.018244013683010263,0.01689545934530095,0.01684836471754212,0.015582034830430797,0.015517241379310345,0.014693877551020407,0.01386748844375963,0.013177159590043924,0.012569832402234637,0.012040133779264214,0.012218649517684888,0.012218649517684888,0.012218649517684888,0.012226512226512226,0.012226512226512226,0.012226512226512226,0.012226512226512226,0.012226512226512226,0.012258064516129033,0.012265978050355068
incurable,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,0.0006561201428883867,0.0,0.0,0.0009910802775024777,0.0009165902841429881,0.0008620689655172414,0.0008163265306122449,0.0007704160246533128,0.0007320644216691069,0.0006983240223463687,0.0006688963210702341,0.0006430868167202572,0.0006430868167202572,0.0006430868167202572,0.0006435006435006435,0.0006435006435006435,0.0006435006435006435,0.0006435006435006435,0.0006435006435006435,0.0006451612903225806,0.0006455777921239509
intéressant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.00036451119049354816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006430868167202572,0.0006430868167202572,0.0006430868167202572,0.0006435006435006435,0.0006435006435006435,0.0006435006435006435,0.0006435006435006435,0.0006435006435006435,0.0006451612903225806,0.0006455777921239509
parvenu,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,55.0,0.002004811547714515,0.002280501710376283,0.0021119324181626186,0.0019821605550049554,0.0018331805682859762,0.0017241379310344827,0.0024489795918367346,0.0023112480739599386,0.0021961932650073207,0.002094972067039106,0.002006688963210702,0.0019292604501607716,0.0019292604501607716,0.0019292604501607716,0.0019305019305019305,0.0019305019305019305,0.0019305019305019305,0.0019305019305019305,0.0019305019305019305,0.001935483870967742,0.001936733376371853
